IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
59,6249030,PETIT AVIGNON,PLAZA BROWN 205,ADROGUE,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 19:30hs ,Sáb. 09:00hs a 13:00hs ,,-34.797909,-58.385109
315,9902093,CORREO ADROGUE,ESTEBAN ADROGUE 1076,ADROGUE,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.798603,-58.391301
1429,90003030,CHANGO MAS ALMIRANTE BROWN (WAL MART),AV. ESPORA 2074,ADROGUE,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-34.817242,-58.38839
1544,90001056,C.S. SHOPPING BOULEVARD,AV. H. YRIGOYEN 13298,ADROGUE,Buenos Aires,1,1,1,0,Lun. a Vie. 10:30hs a 19:00hs ,Sáb. 10:30hs a 19:00hs ,,-34.81017783,-58.4005565
2021,90001083,C.S. CARREFOUR ADROGUE,H. YRIGOYEN 13500,ADROGUE,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,Dom. 10:00hs a 14:00hs ,-34.812259,-58.398944
5793,8159538,AGL ATM ADROGUE,PELLERANO 730,ADROGUE,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.798939,-58.391188
5862,8149575,PF GROUP 3,ESPORA 801,ADROGUE,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.798753,-58.388824
5230,10449039,SUPER UNIMARCK,PRESIDENTE PERON 1325,ADROGUE,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 13:30hs y 16:30hs a 21:00hs,Sáb. 09:00hs a 13:30hs y 16:30hs a 21:00hs,,-34.809076,-58.379903
5400,12449346,ADROCANDY,DIAGONAL BROWN 1410,ADROGUE,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 19:00hs ,,,-34.797542,-58.387905
4910,8749215,BALCARCE 2,MACIAS 615,ADROGUE,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 18:00hs ,,-34.797366,-58.391125
