IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
15,5149177,FARMACIA LACARRA,LACARRA 1702,AVELLANEDA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 20:00hs ,Sáb. 08:30hs a 20:00hs ,Dom. 09:00hs a 14:00hs ,-34.685834,-58.373882
300,9902076,CORREO AVELLANEDA,AV. MANUEL BELGRANO 390,AVELLANEDA,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.661158,-58.368446
897,5149612,FARMACIA GRAN SARMIENTO,SARMIENTO 1700,AVELLANEDA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 20:00hs ,Sáb. 08:30hs a 13:00hs y 17:00hs a 20:00hs,,-34.689838,-58.366862
966,7749004,ADMINISTRACION DOGA,25 DE MAYO 215,AVELLANEDA,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 16:30hs ,,,-34.66107757,-58.36253929
990,5149670,FARMACIA MAGA SHOP AMERICANA,CORONEL GARCIA 202,AVELLANEDA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 19:00hs ,,-34.66396,-58.379537
1315,5149954,FARMACIA BLANCO FARMA,GUEMES 1098,AVELLANEDA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 20:30hs ,Sáb. 08:30hs a 20:30hs ,Dom. 09:00hs a 13:00hs y 17:00hs a 20:30hs,-34.67993296,-58.36858414
1798,11849084,FARMACIA CRUCESITA SCS,AV. MITRE 1471,AVELLANEDA,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,Sáb. 10:00hs a 18:00hs ,,-34.666852,-58.356894
1980,90001069,C.S. CARREFOUR AVELLANEDA,AV. H. YRIGOYEN 299,AVELLANEDA,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 20:00hs ,Sáb. 10:00hs a 20:00hs ,Dom. 10:00hs a 15:00hs ,-34.661477,-58.374451
1847,11849093,FARMACIA MAGA SHOP AVELLANEDA,AV. MITRE 637,AVELLANEDA,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,Sáb. 10:00hs a 18:00hs ,,-34.66217984,-58.3653699
2212,8118032,COREFIN (AVELLANEDA),AV. MITRE 801,AVELLANEDA,Buenos Aires,0,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.663343,-58.363787
2109,7549881,MAXIKIOSCO DULZURA S,ALSINA 124,AVELLANEDA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 10:00hs a 19:00hs ,,-34.66506039,-58.36624251
4293,90049058,EL MAGO II,AV. MITRE 561,AVELLANEDA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:30hs a 18:30hs ,,,-34.661051,-58.367136
4826,10349130,CENTRO SERVICIOS VIL-MEY,BERUTTI 205,AVELLANEDA,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 14:00hs a 19:00hs,Sáb. 09:00hs a 13:00hs ,,-34.662413,-58.368348
5885,9749354,ALMACEN URUGUAY,URUGUAY  899,AVELLANEDA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.667372,-58.390773
5193,8159303,AGL SEGUROS OTTAVIANO,25 DE MAYO 154,AVELLANEDA,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-34.660889,-58.36372
5894,8149586,ATM AVELLANEDA,PIAGGIO 110,AVELLANEDA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.664247,-58.364389
5933,11849267,FARMACIA HEREDIA,LACARRA 1302,AVELLANEDA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,,,-34.682167,-58.370539
5396,8159392,AGL BROKERS AVELLANEDA,AV. NICOLAS AVELLANEDA 1231,AVELLANEDA,Buenos Aires,0,0,1,0,Lun. a Vie. 10:00hs a 17:00hs ,,,-34.648752,-58.347829
5447,8159415,AGL SEGUROS G Y G,ZEBALLOS 520,AVELLANEDA,Buenos Aires,0,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.658278,-58.363595
5528,11849262,FARMACIA DUCA,AV. MITRE 2412,AVELLANEDA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 19:30hs ,,,-34.673752,-58.350349
5587,8749264,CENTOR SERVICIOS KESTERNICH,MITRE 287,AVELLANEDA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 14:00hs ,,-34.658664,-58.370041
4964,90001212,C.S. AVELLANEDA II,SARMIENTO 46,AVELLANEDA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-34.603132,-58.407295
