IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
390,9902175,CORREO BAHIA BLANCA - C,MORENO 34,BAHIA BLANCA,Buenos Aires,1,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-38.71814933,-62.26791967
705,9902529,CORREO BAHIA BLANCA SUC. 2,DON BOSCO 1021,BAHIA BLANCA,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 15:00hs a 18:00hs,,,-38.722297408163,-62.293704795918
1101,5149775,FARMACIA CHISTIK,VIEYTES 1460,BAHIA BLANCA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 16:30hs ,Sáb. 08:30hs a 12:30hs ,,-38.70732355,-62.28496322
1166,7049370,KIOSCO LA ESQUINA (BA),MISIONEROS 799,BAHIA BLANCA,Buenos Aires,1,1,1,0,Lun. a Vie. 07:30hs a 13:00hs y 16:00hs a 21:00hs,Sáb. 08:00hs a 13:00hs y 16:30hs a 21:00hs,Dom. 08:00hs a 12:00hs ,-38.735281,-62.228978
1185,7049428,KIOSCO GUADA,MORENO 602,BAHIA BLANCA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 17:00hs ,Sáb. 08:00hs a 13:30hs ,Dom. 08:00hs a 13:30hs ,-38.723927,-62.274516
1444,7549520,MARICAR,RINCON 355,BAHIA BLANCA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 16:30hs a 21:00hs,Dom. 09:00hs a 12:00hs ,-38.71168222,-62.25217431
1458,7549538,LUNA NUEVA,PELLEGRINI 702,BAHIA BLANCA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,Sáb. 08:00hs a 18:00hs ,,-38.720031,-62.24824
1300,6949249,GUTICOPIAS,BRANSEN 394,BAHIA BLANCA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,,,-38.71952595,-62.25476063
1553,5349226,SUPERMERCADOS OASIS I,PAUNERO 1130,BAHIA BLANCA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 12:30hs y 16:30hs a 20:30hs,Dom. 09:00hs a 12:30hs ,-38.74149114,-62.26974286
1554,5349228,SUPERMERCADOS OASIS III,JUJUY 1403,BAHIA BLANCA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 12:30hs y 16:30hs a 20:30hs,Dom. 09:00hs a 12:30hs ,-38.72146496,-62.30141533
1603,7049918,KIOSCO DON PERIGNON,CHICLANA 176,BAHIA BLANCA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 09:00hs a 12:00hs ,,-38.71970767,-62.26429022
1963,5349293,SUPER MAR K,MALVINAS 2140,BAHIA BLANCA,Buenos Aires,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 19:30hs,Sáb. 08:30hs a 13:00hs y 17:00hs a 19:30hs,,-38.71027841,-62.3029479
1819,5349268,SUPERMERCADO CEFERINO,HOLDICH 1991,BAHIA BLANCA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 20:00hs,Sáb. 08:30hs a 13:00hs y 16:30hs a 21:00hs,Dom. 09:30hs a 13:00hs ,-38.73035853,-62.29629873
2216,8118036,COREFIN (BAHIA BLANCA),CHICLANA 293,BAHIA BLANCA,Buenos Aires,0,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,Sáb. 08:30hs a 13:30hs ,,-38.7202805,-62.2664735
2132,12249026,LOCUTORIO VICENTE LOPEZ,VICENTE LOPEZ 76,BAHIA BLANCA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 09:00hs a 13:00hs ,,-38.71867694,-62.26813953
2569,5207107,AXION BAHIA BLANCA (637),SARMIENTO 4114,BAHIA BLANCA,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-38.697583,-62.243096
2571,5207108,AXION UNIVERSITARIO (742),AV. ALEM 1086,BAHIA BLANCA,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-38.70402,-62.269541
2478,9449025,Q IDEA SERVICIOS GRAFICOS,THOMPSON 1134,BAHIA BLANCA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 20:00hs,,,-38.733255,-62.260156
2885,11949177,LUNA NUEVA III CRS,ALVARADO 277,BAHIA BLANCA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 17:00hs ,Sáb. 08:00hs a 17:00hs ,,-38.712802,-62.265588
3207,5320008,SUPERMAYORISTA VITAL BAHIA BLANCA,RUTA 3 KM 690,BAHIA BLANCA,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 08:00hs a 20:00hs ,,-38.738752,-62.297418
