IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
301,9902077,CORREO BANFIELD,DR. ADOLFO ALSINA 658,BANFIELD,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.744375,-58.39268486
1115,11449007,SPEED COMPUTACION,M. RODRIGUEZ 1395,BANFIELD,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:00hs a 19:00hs,Sáb. 09:00hs a 13:00hs ,,-34.7358871,-58.43316267
1157,7049379,MAXIKIOSCO GMG,MAIPU 471,BANFIELD,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:30hs ,Sáb. 09:00hs a 13:00hs y 16:00hs a 18:00hs,,-34.74424957,-58.388574
1257,7549230,POLIRUBRO SOL Y LUNA,LAS HERAS 1997,BANFIELD,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 17:00hs a 19:30hs,Sáb. 08:30hs a 12:30hs y 17:00hs a 19:30hs,Dom. 09:00hs a 12:30hs ,-34.74675333,-58.42378367
1727,8849971,LOCUTORIO LOS ANDES,EJERCITO DE LOS ANDES 651,BANFIELD,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,,,-34.71795398,-58.43529565
1523,11849012,FARMACIA UEKADO,GABRIELA MISTRAL 6,BANFIELD,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 22:00hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 20:00hs,,-34.72816763,-58.41660494
1527,8849920,LOCUTORIO PENA,TUNEZ 2042,BANFIELD,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.74618086,-58.37720341
1531,7049848,MAXIKIOSCO GOSEN,VIEYTES 1061,BANFIELD,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 15:30hs a 19:30hs,Sáb. 09:00hs a 13:00hs ,,-34.73884086,-58.40868359
1870,11649274,CYBERKIOSCO LOS DIABLITOS,LISANDRO DE LA TORRE 2053,BANFIELD,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 20:30hs ,Sáb. 10:00hs a 13:00hs ,,-34.746534,-58.436178
2268,90001171,C.S. CARREFOUR BANFIELD,LAS HERAS 1163,BANFIELD,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,Dom. 09:00hs a 15:00hs ,-34.7484,-58.4122
2622,5319138,CARREFOUR MAXI (706),AV. GRAL MARTIN RODRIGUEZ 1502,BANFIELD,Buenos Aires,0,0,1,0,Lun. a Vie. 07:00hs a 21:00hs ,Sáb. 07:00hs a 21:00hs ,Dom. 10:00hs a 20:00hs ,-34.736096,-58.434971
2517,12049489,JE JE 2,MAIPU 106,BANFIELD,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.74309,-58.394516
2836,8859002,AGL LOCUTORIO ALE,CAP. JACINTO YABEN 757,BANFIELD,Buenos Aires,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:00hs a 20:00hs,,,-34.739995,-58.484039
2912,11949185,GONZALEZ,FOURNIER 1796,BANFIELD,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.741855,-58.439326
3750,9759004,AGL ALMACEN DE LA YAYA,MARTIN RODRIGUEZ 433,BANFIELD,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 20:00hs ,,,-34.728961,-58.421867
4211,6949534,LA ESQUINA,JUAN BRUNO TAVANO 1798,BANFIELD,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-34.744611,-58.391732
4270,12449142,MAXIKIOSCO JEJE 2,FRENCH 111,BANFIELD,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.742835,-58.396293
4771,10349123,URIARTE JR,URIARTE 1010,BANFIELD,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 08:00hs a 19:00hs ,,-34.733368,-58.409116
6633,,CORREO TRIBUNALES BANFIELD,ALBERTO LARROQUE  2450,BANFIELD,Buenos Aires,1,0,0,0,Lun. a Vie. 0730 A 1330,,,-34.7418851,-58.428465
5010,11649352,GABYSER,CLAUDIO DE ALAS 2579,BANFIELD,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 14:00hs a 21:00hs,,,-34.719746,-58.463348
5443,8159411,AGL MGM,SANTA FE 1622,BANFIELD,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.738115,-58.417953
