IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
93,9049005,LA TIENDITA,CALLE 28 Y CALLE 113,BERAZATEGUI,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:00hs a 19:00hs,,,-34.793768,-58.234368
193,5207044,AXION GUTIERREZ (942),RUTA 36 KM 34,BERAZATEGUI,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.841005,-58.188545
310,9902087,CORREO BERAZATEGUI,CALLE 15 NRO 4751,BERAZATEGUI,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.762708,-58.209282
1004,5149683,FARMACIA MAGA SHOP SOL BERAZATEGUI,AV. MITRE 2372,BERAZATEGUI,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 08:00hs a 18:00hs ,,-34.76825857,-58.19424343
1375,8849861,LOCUTORIO MALE,CALLE 18 NRO 5727,BERAZATEGUI,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 08:00hs a 21:00hs ,Dom. 10:00hs a 19:00hs ,-34.76068612,-58.19713302
1616,8049154,VENTA DE PASAJES BEGUIGOLD,CALLE 14 NRO 4361,BERAZATEGUI,Buenos Aires,1,1,1,0,Lun. a Vie. 09:30hs a 17:00hs ,Sáb. 10:00hs a 13:00hs ,,-34.76459988,-58.21310753
1884,7549830,MAXIKIOSCO TINAS,CALLE 133 NRO 2080,BERAZATEGUI,Buenos Aires,0,1,1,0,Lun. a Vie. 07:00hs a 13:00hs y 16:00hs a 22:00hs,Sáb. 10:00hs a 13:00hs y 16:00hs a 22:00hs,,-34.77662984,-58.21902198
2656,5319188,CARREFOUR EXPRESS (0495),AV. 14 NRO 5072,BERAZATEGUI,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.76032,-58.206392
2848,9749192,ALMACEN MI BEBE,CALLE 138 NRO 1307,BERAZATEGUI,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 13:30hs y 15:30hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-34.766296,-58.220612
2917,12049548,MI DELFINA,CALLE 32 NRO 3697,BERAZATEGUI,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-34.784146,-58.208361
3529,11849199,FARMACIA MILAYA II,AV. VERGARA 98,BERAZATEGUI,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,,-34.791028,-58.216911
3313,11849187,FARMACIA SORIA Y CHAVES,CALLE 7 NRO 1198,BERAZATEGUI,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,,,-34.774361,-58.250753
3732,8049358,RAMIRO II,CALLE 14 NRO 3944,BERAZATEGUI,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.761887,-58.209579
4801,11449082,POMSP COMPUTACION,CALLE 147 NRO 1379,BERAZATEGUI,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.762012,-58.210971
6764,,NSA AR VARELA LEDEFAX,AV. CALCHAQUI  676,BERAZATEGUI,Buenos Aires,1,0,0,0,Lun. a Vie. 0830 A 2030,Sáb. 0830 A 2030,Dom. 0830 A 2030,-34.780645,-58.26146
5697,11849263,FARMACIA MUTUAL DUCILO,MITRE  442,BERAZATEGUI,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 16:00hs ,,,-34.751903,-58.216325
5138,8159283,AGL SEGUROS TORRES,CALLE 148 NRO 1080,BERAZATEGUI,Buenos Aires,0,0,1,0,Lun. a Vie. 09:30hs a 18:30hs ,,,-34.758526,-58.211742
5270,8159331,AGL SEGUROS TIRRITO,CALLE 14 N 4102,BERAZATEGUI,Buenos Aires,0,0,1,0,Lun. a Vie. 10:00hs a 12:00hs y 16:00hs a 18:00hs,,,-34.765616,-58.216646
5615,8159476,AGL SEGUROS VARGAS,CALLE 19 NRO 5102,BERAZATEGUI,Buenos Aires,0,0,1,0,Lun. a Vie. 10:00hs a 12:00hs y 16:00hs a 18:00hs,,,-34.764715,-58.202678
