IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
13,5149144,FARMACIA IRRAZABAL,CNO GRAL BELGRANO 963,BERNAL OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 15:30hs a 20:00hs,Sáb. 09:00hs a 13:00hs y 15:30hs a 19:00hs,,-34.738154,-58.320501
33,5149512,FARMACIA MAGA SHOP BERNAL,SAN MARTIN 756,BERNAL OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 10:30hs a 18:30hs ,Sáb. 10:30hs a 18:30hs ,,-34.70642114,-58.28836514
910,10249180,AGENCIA PALO VERDE,9 DE JULIO 194,BERNAL OESTE,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 20:30hs ,Sáb. 08:30hs a 20:30hs ,,-34.71311028,-58.28338483
1446,5449360,ARTICULOS PARA EL HOGAR MONTALBANO,DARDO ROCHA 721,BERNAL OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:30hs a 12:30hs y 15:30hs a 19:30hs,Sáb. 09:30hs a 12:30hs y 15:30hs a 19:00hs,,-34.71618084,-58.29669065
1475,5149989,FARMACIA MAGA SHOP SANAR 9,9 DE JULIO 190,BERNAL OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.71305979,-58.28331338
1329,5149959,FARMACIA MAGA SHOP SANAR 7,DARDO ROCHA 427,BERNAL OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 20:00hs ,,-34.71792842,-58.293188
2371,11849149,FARMACIA MAGA BERNAL,CERRITO 488,BERNAL OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 19:00hs ,,-34.712052,-58.294013
2873,7059000,AGL MI CARAMELO,AVELLANEDA 858,BERNAL OESTE,Buenos Aires,0,0,1,0,Lun. a Vie. 07:00hs a 22:00hs ,Sáb. 07:00hs a 22:00hs ,,-34.718576,-58.294196
2978,11849174,FARMACIA MAGA SHOP SPY FAR ARGENTINA,ZAPIOLA 510,BERNAL OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.717245,-58.285282
3780,11849207,SOY TU FARMACIA SOY ZAPIOLA BERNAL,ZAPIOLA 1057,BERNAL OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.721772,-58.294738
4154,11959117,AGL KIOSCO MARIEL,CALLE 168 NRO 590,BERNAL OESTE,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.728553,-58.311646
4170,11849226,SOY TU FARMACIA NUEVA VENTURA,AV. LOS QUILMES 736,BERNAL OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.719724,-58.303858
4682,11849251,SOY TU FARMACIA SOY SANAR 61,CHACO 1301,BERNAL OESTE,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.7154,-58.309461
5349,8159366,AGL SEGUROS JM LALIN,MONTEVIDEO 1098,BERNAL OESTE,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.715904,-58.304345
