IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
4,5149031,FARMACIA FOGACCI,AV.AVELINO ROLON 1820,BOULOGNE,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 15:00hs a 19:00hs,Sáb. 08:00hs a 12:00hs y 15:00hs a 19:00hs,,-34.50687929,-58.56335071
39,5149539,FARMACIA VAREADORES,AV. ANTONIO SAENZ 2146,BOULOGNE,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 13:00hs y 16:00hs a 19:00hs,,-34.51023904,-58.56643169
52,5449095,DELTA-BOULOGNE,BERNARDO DE IRIGOYEN 555,BOULOGNE,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 15:30hs a 19:30hs,Sáb. 09:00hs a 13:00hs y 16:00hs a 19:30hs,,-34.50512094,-58.57164884
404,9902190,CORREO SOLEIL,BERNARDO DE IRIGOYEN 2647,BOULOGNE,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.491188,-58.588475
332,9902111,CORREO BOULOGNE - C,AV. AVELINO ROLON 2384,BOULOGNE,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.51300639,-58.56680861
1996,90001076,C.S. CARREFOUR SOLEIL,BERNARDO DE IRIGOYEN 2647,BOULOGNE,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,Dom. 09:00hs a 15:00hs ,-34.491188,-58.588475
1831,10249568,AGENCIA EL REY DE LA SUERTE 4,SARRATEA 495,BOULOGNE,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-34.513593,-58.572903
1897,10249586,AGENCIA EL REY DE LA SUERTE CAPITAN,CAPITAN DE SAN MARTIN 1476,BOULOGNE,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-34.49516655,-58.57387804
3052,10249727,AGENCIA ROLON,ROLON 787,BOULOGNE,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-34.498645,-58.556403
6756,,NSA AR SAN ISIDRO,PANAMERICANA  2631,BOULOGNE,Buenos Aires,1,0,0,0,Lun. a Vie. 0830 A 2100,Sáb. 0830 A 2100,Dom. 1000 A 2100,-34.496819,-58.551633
5355,11849260,D Y F FARMACEUTICA,AV. BERNARDO DE IRIGOYEN 1165,BOULOGNE,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.500223,-58.577484
