IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
195,5207049,AXION LA CARMELA (924),"RN 9 KM 72,5",CAMPANA,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.188124,-58.943519
196,5207050,AXION RIVADAVIA (931),AV. RIVADAVIA 975,CAMPANA,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.17554,-58.95993243
420,9902216,CORREO CAMPANA,SAN MARTIN 274,CAMPANA,Buenos Aires,1,0,1,0,Lun. a Vie. 09:30hs a 17:30hs ,,,-34.161415,-58.959686
201,5207055,AXION DIALOGOS (774),AV. MITRE 852,CAMPANA,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.162981,-58.959858
1823,8949495,TELECENTRO CAMPANA,MITRE 1110,CAMPANA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:15hs a 19:00hs ,Sáb. 08:15hs a 12:45hs ,,-34.16257133,-58.96573233
2111,90001129,C.S. CARREFOUR CAMPANA II,COLECTORA NORTE 1647,CAMPANA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,,-34.186389,-58.946177
2159,12049267,MAXI CAMPANA,BRAVO 62,CAMPANA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 18:00hs ,,-34.205944,-58.941106
3031,5449427,BRINGERI CAMPANA,AV. ROCA 216,CAMPANA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:00hs a 20:00hs,,,-34.165214,-58.974903
4385,8649081,PANADERIA Y CONFITERIA SALAM,GENERAL BELGRANO 51,CAMPANA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.157787,-58.957593
4274,10249930,AGENCIA PAGO AL TOQUE 3,LARRABURE 1498,CAMPANA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.196214,-58.952965
4275,10249931,AGENCIA PAGO AL TOQUE 2,BALBIN 1111,CAMPANA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.175059,-58.967178
4586,12449223,KIOSCO AVENIDA CAMPANA,AV. INT. J. R. VARELA 599,CAMPANA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 10:00hs a 13:00hs ,,-34.167946,-58.959676
