IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
288,9902064,CORREO CASEROS,GRAL J. J. DE URQUIZA 4826,CASEROS,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.60628,-58.563692
1026,5149707,FARMACIA SEBASTIANI,LISANDRO DE LA TORRE 3497,CASEROS,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:30hs ,Sáb. 09:00hs a 13:00hs ,,-34.61583671,-58.5573021
1399,6149219,AUTOSERVICIO BOTTO,CARLOS TEJEDOR 4418,CASEROS,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:30hs y 17:00hs a 21:30hs,Sáb. 09:00hs a 13:30hs y 17:00hs a 21:30hs,,-34.62111055,-58.55786884
1463,5449366,SHIVA CASEROS II,AV. SAN MARTIN 2198,CASEROS,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs y 16:00hs a 20:00hs,,-34.60265682,-58.56115161
1484,7549569,POLIRUBRO INTEGRAL BELGRANO,BELGRANO 5112,CASEROS,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 13:30hs y 14:30hs a 21:00hs,Sáb. 08:00hs a 13:30hs y 14:30hs a 21:00hs,,-34.60713624,-58.56891229
1871,10349050,LA CASA DEL CIUDADANO,J. B. ALBERDI 4675 B,CASEROS,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-34.60374073,-58.56084976
2101,12149022,DESPENSA DI TUTTO,FRAY MAMERTO ESQUIU 5545,CASEROS,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,Dom. 08:00hs a 20:00hs ,-34.59578933,-58.57584033
2660,5319192,CARREFOUR EXPRESS (0521),AV. URQUIZA 4855,CASEROS,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.589577,-58.518276
2422,7249101,ZE.NA HNOS,SAN MARTIN 2150,CASEROS,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.601824,-58.561778
3090,8749080,LA CASA DEL CIUDADANO CASEROS,AV. SAN MARTIN 2555,CASEROS,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.605562,-58.562031
3483,6449305,AMPARA,URQUIZA 5128,CASEROS,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:30hs a 13:00hs ,,-34.605858,-58.563867
4289,8249087,EL PARQUE,CHICLANA 2889,CASEROS,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-34.614235,-58.546563
4334,5349383,LA CASA DEL CIUDADANO VEA,B. MITRE 4636,CASEROS,Buenos Aires,1,1,1,0,Lun. a Vie. 09:30hs a 18:00hs ,Sáb. 09:00hs a 15:00hs ,,-34.582601,-58.545241
5407,8159395,AGL SEGUROS PEREZ,AV. BARTOLOME MITRE 3108,CASEROS,Buenos Aires,0,0,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.617425,-58.546786
