IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
289,9902065,CORREO CASTELAR,CNEL MARTIN DOMINGO IRIGOYEN 484,CASTELAR,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.6532,-58.640306
1156,7049378,MAXIKIOSCO DITUTTO,GRAL. ARIAS 2352,CASTELAR,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 17:30hs ,Sáb. 09:00hs a 13:00hs ,,-34.651665,-58.641106
1296,7549285,POLIRUBRO ILUSIONES,ALFREDO BUFANO 3198,CASTELAR,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:30hs y 17:00hs a 21:00hs,,,-34.663128,-58.651288
1618,5249083,YPF SERVIRUTA,RIVADAVIA 21190,CASTELAR,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 11:00hs y 16:00hs a 19:00hs,,,-34.65811173,-58.6586641
1990,12049192,MAXIKIOSCO INTI,JUAN MANUEL DE ROSAS 348,CASTELAR,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.63963263,-58.62522008
2609,6249077,CASTELAR SHOP,RIVADAVIA 20058,CASTELAR,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,Sáb. 10:00hs a 18:00hs ,,-34.652192,-58.641532
2620,5319136,CARREFOUR EXPRESS (0439),GOB. ARIAS 2420,CASTELAR,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.651095,-58.643058
3839,6649031,FIAMBRERIA LOS INCAS,AV. J. MANUEL DE ROSAS 689,CASTELAR,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 21:00hs ,Sáb. 08:30hs a 21:00hs ,Dom. 10:00hs a 14:00hs ,-34.634369,-58.628415
4239,11949477,MAXIKIOSCO LO DEL PAJARO,ARIAS 3497,CASTELAR,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 14:00hs a 18:00hs,,,-34.648646,-58.656695
4691,11949516,LA TIENDITA,TUCUMAN 2601,CASTELAR,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 15:30hs a 20:00hs,,,-34.639534,-58.644078
4602,11949509,POLIRUBRO OSKI,CURUCHET 3366,CASTELAR,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 19:00hs,Sáb. 09:00hs a 13:00hs ,,-34.633288,-58.652852
5715,8149541,ATM CASTELAR,AV SANTA ROSA 2383,CASTELAR,Buenos Aires,1,1,1,0,Lun. a Vie. 09:30hs a 18:30hs ,,,-34.634221,-58.654044
5453,8159418,AGL SEGUROS CASINELLI,ARIAS 3122,CASTELAR,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.649423,-58.652737
4961,11949574,SERVICIOS CASTELAR,BARTOLOME MITRE 2460,CASTELAR,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.651989,-58.639823
