IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
561,9902358,CORREO CHACABUCO,ALBERDI 57,CHACABUCO,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-34.642969,-60.467944
1841,6449238,MUTUAL SOCIOS C. S. BARRACAS Y U. FSA  I,SAAVEDRA 96,CHACABUCO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 14:30hs ,,,-34.63938117,-60.47444117
2370,6349368,WM COMUNICACIONES,AV. SOLIS 145,CHACABUCO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 19:00hs,,,-34.639442,-60.464314
3767,6349404,SERVICIOS DE COMUNICACIONES 1,SAN LORENZO 88,CHACABUCO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs ,,,-34.639469,-60.471618
4354,8022013,SYN BANANA RANA (540),MORENO 18,CHACABUCO,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-34.643147,-60.469264
4404,8022026,SYN CELULOIDE (454),ALMIRANTE BROWN 101,CHACABUCO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-34.643011,-60.473578
4405,8022028,SYN PAVESE (103),AV. VIEYTES 252,CHACABUCO,Buenos Aires,0,0,1,0,Lun. a Vie. 07:00hs a 20:00hs ,Sáb. 07:00hs a 20:00hs ,,-34.643527,-60.461006
4407,8022030,SYN SANCHEZ ROCIO 2 (504),AV. MIGUEL GIL 250,CHACABUCO,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-34.641371,-60.480562
4408,8022031,SYN AUTOSERVICIO MAXINORTE (382),ARISTOBULO DEL VALLE 242,CHACABUCO,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-34.630615,-60.467679
4256,8022003,SYN BOTTA NICOLAS (017),AV. ALSINA 104,CHACABUCO,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 01:00hs ,,,-34.644342,-60.468313
4257,8022005,SYN FELLAY 2 (302),ACC ELGUEA ROMAN 42,CHACABUCO,Buenos Aires,0,0,1,0,Lun. a Vie. 07:00hs a 20:00hs ,,,-34.623967,-60.484511
4258,8022006,SYN LO DE NORMA (193),ITUZAINGO 350,CHACABUCO,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-34.634986,-60.468686
4259,8022007,SYN FOX (455),AV. MIGUEL GIL Y PADRE DOGLIA,CHACABUCO,Buenos Aires,0,0,1,0,Lun. a Vie. 10:00hs a 23:55hs ,,,-34.638635,-60.4774
4663,8022045,SYN MB SERVICIOS (104),LA RIOJA 9,CHACABUCO,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 21:00hs,Sáb. 08:00hs a 12:00hs y 16:00hs a 21:00hs,,-34.645086,-60.474038
4678,8022046,SYN KIOSCO MONEDITA (215),AV. ARENALES 165,CHACABUCO,Buenos Aires,0,0,1,0,Lun. a Vie. 07:00hs a 22:00hs ,Sáb. 07:00hs a 22:00hs ,,-34.643622,-60.479173
4679,8022047,SYN AUTOSERVICIO LOS CUNADOS (233),ELGUEA ROMAN 740,CHACABUCO,Buenos Aires,0,0,1,0,Lun. a Vie. 07:00hs a 13:00hs y 15:00hs a 22:00hs,Sáb. 07:00hs a 13:00hs y 15:00hs a 22:00hs,,-34.624503,-60.483811
4823,6949559,LIBRERIA ABC,QUINTANA 154,CHACABUCO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:30hs a 20:00hs,Sáb. 09:00hs a 12:30hs ,,-34.63356,-60.467169
5866,90049132,ORGANIZACION MITIDIERI,AV GARAY 37,CHACABUCO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 15:30hs a 20:00hs,Sáb. 09:00hs a 12:00hs ,,-34.647496,-60.465547
