IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
21,5149389,FARMACIA ORONO,BERUTI 1305,DEL VISO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:30hs a 12:00hs ,,-34.452662,-58.795611
29,5149492,FARMACIA DE LA RUTA,AV. CONSTITUCION 417,DEL VISO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 15:30hs a 19:30hs,Sáb. 08:30hs a 13:00hs ,,-34.44556365,-58.7883521
353,9902134,CORREO DEL VISO (R.A.S.A.),AV. MADERO 1395,DEL VISO,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.45309833,-58.79822167
1525,11849013,FARMACIA ALDASORO,AV. CONSTITUCION 1250,DEL VISO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-34.43859545,-58.78129294
1533,11849017,FARMACIA ACCESO NORTE II,RUTA 26 Y PACHECO,DEL VISO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 12:00hs ,,-34.442131,-58.782265
2363,10249654,AGENCIA LA GRAN 7 II,RUTA 26 NRO 3003,DEL VISO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 13:30hs y 15:30hs a 20:30hs,Sáb. 08:30hs a 13:30hs ,,-34.416613,-58.775329
2615,5319131,CARREFOUR EXPRESS (0433),MADERO 1050,DEL VISO,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.44609,-58.879001
2623,5319139,CARREFOUR EXPRESS (0442),SARMIENTO 837,DEL VISO,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.648039,-58.620242
2445,6949420,LIBRERIA LOS GIRASOLES,JUAN 23 5603,DEL VISO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs y 16:00hs a 20:00hs,,-34.467021,-58.787609
3087,10249736,AGENCIA EL REY DE LA SUERTE 18,AV. MADERO 1040,DEL VISO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-34.449641,-58.796898
3865,10249864,AGENCIA REY DEL VISO,CASTRO FRANCO 3359,DEL VISO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.530804,-58.780019
4217,10249916,AGENCIA LOS GANADORES,MAZA ESQ. PORTINARI 8259,DEL VISO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.443658,-58.808662
4229,8249083,ANDREA TURISMO,12 DE OCTUBRE (COLECTORA) 3235 LOC 1,DEL VISO,Buenos Aires,0,0,1,0,Lun. a Vie. 10:00hs a 16:00hs ,,,-34.438818,-58.790438
5104,8149430,ABS SEGUROS GENERALES,AV. MADERO 769,DEL VISO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.448147,-58.795524
