IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
197,5207051,AXION DON TORCUATO (929),AV. MARCELO T DE ALVEAR 2898,DON TORCUATO,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.48700565,-58.61652496
254,9902027,CORREO DON TORCUATO,AV. PTE M. T. DE ALVEAR 1539,DON TORCUATO,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.494396,-58.630309
2051,90001101,C.S. CARREFOUR DON TORCUATO,AV. MARCELO T. DE ALVEAR 1960,DON TORCUATO,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,Dom. 09:00hs a 15:00hs ,-34.49223782,-58.62664069
2403,10249661,AGENCIA ISIDORO,TRIUNVIRATO 1409,DON TORCUATO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 18:00hs ,,-34.486043,-58.614662
2133,6249066,ZTE PERFUMERIA,SAAVEDRA 992,DON TORCUATO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:30hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-34.48245867,-58.61951841
2181,12049274,MAXI GUILLE,ALTE. BROWN 1638,DON TORCUATO,Buenos Aires,1,1,1,0,Lun. a Vie. 07:00hs a 21:00hs ,Sáb. 07:00hs a 21:00hs ,,-34.45245665,-58.60143114
3128,11849180,FARMACIA HERNANDEZ,GENERAL PACHECO 2734,DON TORCUATO,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,,-34.485691,-58.655138
4298,90049057,CENTRO REY DON TOR CUATO,ALVEAR 520,DON TORCUATO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:30hs ,Sáb. 09:00hs a 13:00hs ,,-34.499783,-58.641981
6715,,NSA AR DON TORCUATO -TURISMO TRIUNVIRATO,ANGEL TORCUATO DE ALVEAR  2831,DON TORCUATO,Buenos Aires,1,0,0,0,Lun. a Vie. 0830 A 2130,Sáb. 1000 A 2030,Dom. 1630 A 2030,-34.487435,-58.617194
5471,90001225,C.S. DON TORCUATO,PARAGUAY 444,DON TORCUATO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 09:00hs a 12:30hs ,,-34.501107,-58.642173
