IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
32,5149511,FARMACIA MOYANO,FRENCH 499,EZEIZA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 16:30hs a 20:00hs,Sáb. 09:00hs a 12:30hs ,,-34.832043,-58.44748
355,9902136,CORREO EZEIZA,FRENCH 198,EZEIZA,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.852351,-58.521548
3551,11949319,THOALEX,EMILIO MITRE 287,EZEIZA,Buenos Aires,0,1,1,0,Lun. a Vie. 07:00hs a 13:00hs y 17:00hs a 21:30hs,Sáb. 07:00hs a 13:30hs ,,-34.853637,-58.517028
3753,12049981,DALILA,PEDRO PRAVAS 217,EZEIZA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 18:00hs ,,-34.850324,-58.519456
3687,12049968,MAXIKIOSCO RAUL,LOMAS VALENTINAS 736,EZEIZA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 17:00hs ,Sáb. 09:00hs a 17:00hs ,,-34.861631,-58.522578
6727,,NSA AR LA FAROLA EZEIZA,PRESINDENTE NESTOR KIRCHNER  1846,EZEIZA,Buenos Aires,1,0,0,0,Lun. a Vie. 0800 A 2000,Sáb. 0800 A 2000,,-34.898874,-58.579699
6741,,NSA AR N&L GLOBAL,AV. MARIANO CASTEX  3489 OFICINA B-6,EZEIZA,Buenos Aires,1,0,0,0,Lun. a Vie. 0900 A 1900,Sáb. 1000 A 1500,,-34.853721,-58.503356
5029,8149414,ICA 24 EZEIZA,PEDRO  PRAVAS 107,EZEIZA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.8509,-58.518936
5754,8159527,AGL ESTUDIO ZARCO,PRESIDENTE PERON 420,EZEIZA,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.854804,-58.526677
5861,8149574,PF GROUP 2,FRENCH 67 L 3,EZEIZA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.8526,-58.521475
5211,8149457,OGM EZEIZA,LAS HERAS 125,EZEIZA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-34.857661,-58.526469
