IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
62,6449020,CAMARA DE COMERCIO F VARELA,CALLE 224 NRO 249,FLORENCIO VARELA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 16:00hs ,,,-34.80924596,-58.27312222
255,9902028,CORREO FCIO.VARELA,ESPANA 3212,FLORENCIO VARELA,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.809144,-58.276248
862,9902712,CORREO CRUCE VARELA,CAMINO GENERAL BELGRANO 6385,FLORENCIO VARELA,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.785582,-58.257254
1080,8849529,LOCUTORIO ABC,AV. SAN MARTIN 2266,FLORENCIO VARELA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 15:00hs a 18:00hs,Sáb. 09:00hs a 12:00hs y 15:00hs a 18:00hs,Dom. 09:00hs a 12:00hs y 15:00hs a 18:00hs,-34.79964688,-58.27775296
1479,9749046,ALMACEN LA CURVA,MONSERRAT 296,FLORENCIO VARELA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 15:00hs a 19:30hs,Sáb. 09:00hs a 16:00hs ,,-34.8076345,-58.24418667
1496,8849906,LOCUTORIO Y CIBER ACTIVA 2,ALBERDI 2931,FLORENCIO VARELA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,Sáb. 09:00hs a 14:00hs ,,-34.80635088,-58.27252241
1229,5207104,AXION FLORENCIO VARELA (968),AV. SAN MARTIN Y MITRE,FLORENCIO VARELA,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.80947,-58.27738
1775,11849080,FARMACIA MAGA SHOP VARELA,MONTEAGUDO 3101,FLORENCIO VARELA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,,-34.808247,-58.274082
1776,7549770,POLIRUBRO MATU,MARTIN FIERRO 1545,FLORENCIO VARELA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 22:00hs ,Sáb. 09:00hs a 22:00hs ,,-34.80619796,-58.3019112
2048,90001097,C.S. CARREFOUR FLORENCIO VARELA,AV. SAN MARTIN 554,FLORENCIO VARELA,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,Dom. 10:00hs a 14:00hs ,-34.78036968,-58.27863871
2072,12249022,LOCUTORIO VARELA,ENTRE RIOS 3502,FLORENCIO VARELA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,,,-34.811681,-58.269706
1843,9749113,ALMACEN CLEMENTE,DARRAGUEIRA 115,FLORENCIO VARELA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 21:00hs ,Sáb. 08:00hs a 22:00hs ,,-34.78459543,-58.296301
2131,6149281,AUTOSERVICIO DIFUNTA CORREA,PINZON 3937,FLORENCIO VARELA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 15:00hs y 17:00hs a 22:00hs,Sáb. 08:00hs a 15:00hs ,Dom. 08:00hs a 15:00hs ,-34.84923982,-58.22571767
2625,5319141,CARREFOUR EXPRESS (0444),CNO. GRAL BELGRANO 6498,FLORENCIO VARELA,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.780771,-58.262845
2630,5319146,CARREFOUR EXPRESS (0449),SALLARES 151,FLORENCIO VARELA,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.807978,-58.275407
3242,12049714,KIOSCO VICKY,VICTORINO DE LA PLAZA 1399,FLORENCIO VARELA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 09:00hs a 20:00hs ,,-34.789825,-58.279092
3301,8749093,CENTRO DE PAGOS EL CRUCE,CNO. GRAL BELGRANO 6274,FLORENCIO VARELA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 16:00hs ,Sáb. 08:00hs a 14:00hs ,,-34.779328,-58.265049
4151,8121006,CREDIFACIL FLORENCIO VARELA,MONTEAGUDO 3348 (EX 20),FLORENCIO VARELA,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-34.796581,-58.276012
4312,5349382,SOFI,RIO CARAGUATA 2198,FLORENCIO VARELA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.837789,-58.268717
4798,10349127,POMSP COMPUTACION CRUCE VARELA,AV. CALCHAQUI 652,FLORENCIO VARELA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 19:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.779962,-58.262091
4628,10249976,AGENCIA LA SUERTE,SANTA SOFIA  715,FLORENCIO VARELA,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,Sáb. 10:00hs a 12:00hs ,,-34.824011,-58.211957
6717,,NSA AR FLORENCIO VARELA - HACKERS 3,FINOCHIETTO  2356,FLORENCIO VARELA,Buenos Aires,1,0,0,0,Lun. a Vie. 0800 A 2100,Sáb. 0800 A 2100,Dom. 0800 A 2100,-34.778804,-58.263579
6253,,CORREO CRUCE VARELA,AV. CALCHAQUI  6529,FLORENCIO VARELA,Buenos Aires,1,0,0,0,Lun. a Vie. 1000 A 1800,,,-34.785862,-58.256919
5068,11949581,L. Y G.,SENZABELLO N 736,FLORENCIO VARELA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:30hs a 19:00hs ,,,-34.793965,-58.270059
5141,6249097,PEQUENOS MIMOS,AV. SAN MARTIN 2863,FLORENCIO VARELA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,,,-34.805563,-58.278163
5183,8159302,AGL SEGUROS GIALLONARDO,SAN MARTIN N 2375,FLORENCIO VARELA,Buenos Aires,0,0,1,0,Lun. a Vie. 10:00hs a 12:00hs y 16:00hs a 18:00hs,,,-34.770092,-58.318825
5851,8159566,AGL SEGUROS ACEVEDO COTTA,SAN JUAN 574,FLORENCIO VARELA,Buenos Aires,0,0,1,0,Lun. a Vie. 10:00hs a 12:00hs y 16:00hs a 18:00hs,,,-34.806548,-58.268872
5467,8159424,AGL SEGUROS BANEGAS,MONTEVIDEO 2187,FLORENCIO VARELA,Buenos Aires,0,0,1,0,Lun. a Vie. 10:00hs a 12:00hs y 16:00hs a 18:00hs,,,-34.820497,-58.274508
