IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
175,5207027,AXION GENERAL PACHECO (915),AV. H. YRIGOYEN 450,GENERAL PACHECO,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.457663,-58.627843
291,9902067,CORREO GENERAL PACHECO,AV. DE LOS CONSTITUYENTES 532,GENERAL PACHECO,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.45572147,-58.639662
1994,90001074,C.S. CARREFOUR PACHECO,AV. BOULOGNE SUR MER 301,GENERAL PACHECO,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 15:00hs ,,-34.461823,-58.628496
1818,8001007,NSA AR PACHECO,HIPOLITO IRIGOYEN 2338 BOLETERIA 28-29,GENERAL PACHECO,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,Sáb. 10:00hs a 18:00hs ,,-34.472782,-58.65594
2398,8149260,TIGRE PAGOS 2,BOULOGNE SUR MER 54,GENERAL PACHECO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.459498,-58.630128
4249,90049053,SERVICIOS PATAGONIA,ARTIGAS 3000 LOCAL 33,GENERAL PACHECO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 12:00hs ,,-34.429478,-58.660571
5004,8149408,SEGUROS MAY PACHECO,AV DE LOS CONSTITUYENTES 240,GENERAL PACHECO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.458334,-58.637568
5813,8159547,AGL CENTRO SEGUROS TRONCOS,ALFREDO PALACIOS 1355,GENERAL PACHECO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.449341,-58.607555
5947,8149595,ATM PACHECO,CONSTITUYENTES 456,GENERAL PACHECO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.456187,-58.639881
6010,12649037,AGENCIA PACHECO,H YRIGOYEN 305,GENERAL PACHECO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.456221,-58.627163
5390,8159388,AGL SEGUROS PROTECCION 21 PACHECO,AV DE LOS CONSTITUYENTES 192,GENERAL PACHECO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.458937,-58.637
5393,8159390,AGL SEGUROS PROTECCION 21 LAS TUNAS,AV DE LOS CONSTITUYENTES 3166,GENERAL PACHECO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.447913,-58.670875
5430,8159405,AGL CENTRO SEGUROS TALAR,LISANDRO DE LA TORRE 396/496,GENERAL PACHECO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.452334,-58.61571
5571,8159459,AGL SEGUROS GENERALES DE SOUTO Y ASOC.,H YRIGOYEN 2051,GENERAL PACHECO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.455061,-58.624099
