IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
302,9902079,CORREO GONZALEZ CATAN,DR. JOSE EQUIZA 4491,GONZALEZ CATAN,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.77216,-58.644251
2171,12249039,LOCUTORIO RUTA,JOSE MARIA MORENO 575,GONZALEZ CATAN,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 14:00hs y 15:00hs a 18:00hs,Sáb. 08:30hs a 13:00hs ,,-34.770535,-58.64685
2174,12249042,LOCUTORIO AVENIDA,AV. SIMON PEREZ 4925,GONZALEZ CATAN,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 14:00hs y 15:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-34.776137,-58.641576
2185,12249046,LOCUTORIO PUENTE,JUAN MANUEL DE ROSAS 13908,GONZALEZ CATAN,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 14:00hs y 15:00hs a 18:00hs,Sáb. 08:30hs a 13:00hs ,,-34.7601815,-58.6150095
2187,12249048,LOCUTORIO LARRE,JOSE LEON LARRE 679,GONZALEZ CATAN,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 14:00hs y 15:00hs a 18:00hs,Sáb. 08:30hs a 13:00hs ,,-34.77064451,-58.64785698
3140,6959001,AGL CASA ELISU,SAN BLAS 44,GONZALEZ CATAN,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 08:00hs a 21:00hs ,,-34.777393,-58.629218
3200,8749086,CATAN,BRIG. J.M. DE ROSAS 14457,GONZALEZ CATAN,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 20:00hs ,Sáb. 10:00hs a 20:00hs ,,-34.761076,-58.615814
3240,8249065,ARPY TURISMO,BALBOA 7071,GONZALEZ CATAN,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 14:00hs y 16:00hs a 21:00hs,Sáb. 09:00hs a 14:00hs y 16:00hs a 21:00hs,,-34.781934,-58.610587
3265,6349393,DANILA,ZELADA 6630,GONZALEZ CATAN,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,Dom. 09:00hs a 13:00hs ,-34.780911,-58.605516
3015,5319347,CARREFOUR EXPRESS (477),E. PEREZ 4566¿,GONZALEZ CATAN,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 21:30hs ,Sáb. 08:00hs a 21:30hs ,Dom. 11:00hs a 20:00hs ,-34.773185,-58.645129
