IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
339,9902118,CORREO GRAND BOURG,ALTE. FCO. JOSE SEGUI 1722,GRAND BOURG,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.48446102,-58.72696412
1216,5149876,FARMACIA RIVERA,F. SEGUI 1648,GRAND BOURG,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 21:00hs ,,,-34.48484035,-58.72602335
2006,11849120,FARMACIA OTA,AV. EVA PERON 1301,GRAND BOURG,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 13:30hs y 15:30hs a 20:30hs,Sáb. 08:30hs a 13:30hs ,,-34.488936,-58.725809
2655,5319187,CARREFOUR EXPRESS (0494),FCO. SEGUI 1519,GRAND BOURG,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.484055,-58.727556
4213,11649342,HECTOR,O BRIEN 920,GRAND BOURG,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 08:00hs a 13:00hs ,,-34.493967,-58.727188
4358,10249945,AGENCIA RODO GRAND BOURG,AV. SESQUINCENTENARIO 2201,GRAND BOURG,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.494959,-58.705693
4361,10249948,AGENCIA RODO GRAND BOURG LOS ANDES,EJERCITO DE LOS ANDES 2636,GRAND BOURG,Buenos Aires,0,1,1,0,,,,-34.489027,-58.704727
4362,10249942,AGENCIA RODO GRAND BOURG BEIRO,FRANCISCO BEIRO 1749,GRAND BOURG,Buenos Aires,0,1,1,0,Lun. a Vie. 11:00hs a 19:00hs ,,,-34.484671,-58.721495
4286,12449144,PUNTO DE ENCUENTRO 2,CURABROCHERO 806,GRAND BOURG,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,,,-34.498645,-58.730727
4326,10249939,AGENCIA LA DIOSA DE LA FORTUNA,EL CALLAO 750,GRAND BOURG,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-34.493864,-58.720664
4352,10249946,AGENCIA RODO GRAND BOURD DESCARTES,DESCARTES 2975,GRAND BOURG,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 18:00hs ,,-34.467679,-58.724276
5385,8159344,AGL STAR GESTIONES Y SERVICIOS GRAND,AV EVA DUARTE DE PERON 1104,GRAND BOURG,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.492626,-58.727487
