IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
91,8849002,EXPRESS TELEFONOS PUBLICOS,CNEL GARZON 3067,GREGORIO DE LA FERRERE,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,Sáb. 08:00hs a 18:00hs ,,-34.75233627,-58.58190831
303,9902080,CORREO LAFERRERE,ESTEBAN ECHEVERRIA 6006,GREGORIO DE LA FERRERE,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.748484,-58.585377
896,5207092,AXION LAFERRERE (960),AV. GRAL ROJO 2899,GREGORIO DE LA FERRERE,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.749938,-58.582014
994,5449302,H Y M TORINO I,AV. GRAL ROJO 3239,GREGORIO DE LA FERRERE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 15:30hs a 19:00hs,Sáb. 09:00hs a 12:00hs y 15:30hs a 19:00hs,,-34.75170716,-58.5853759
1304,5449347,DIAMANT HOGAR II,SOBERANIA NACIONAL 3125,GREGORIO DE LA FERRERE,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 12:00hs y 16:00hs a 18:00hs,,,-34.7493082,-58.58658261
1646,90003046,WAL MART LAFERRERE,RUTA 21 Y CARLOS CASARES,GREGORIO DE LA FERRERE,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,,-34.742111,-58.5672
2173,12249041,LOCUTORIO ESTACION,PIEDRABUENA 6186,GREGORIO DE LA FERRERE,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 14:00hs y 15:00hs a 18:00hs,Sáb. 08:30hs a 13:00hs ,,-34.75050814,-58.58403586
2659,5319191,CARREFOUR EXPRESS (0498),LURO 6329,GREGORIO DE LA FERRERE,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.751542,-58.583389
2464,11149051,ESTUDIO CARRAU HERMANAS,SOBERANIA NACIONAL 3379,GREGORIO DE LA FERRERE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 10:00hs a 14:00hs ,,-34.750576,-58.589195
2532,5319168,CARREFOUR EXPRESS (0471),AV. HONORIO LUQUE 6101,GREGORIO DE LA FERRERE,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.750322,-58.586524
