IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
183,5207036,AXION TESEI (909),AV. PTE PERON 4531,HURLINGHAM,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.632862,-58.625685
14,5149167,FARMACIA MORRIS,VILLEGAS 1906,HURLINGHAM,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:00hs a 19:30hs,Sáb. 08:30hs a 12:30hs ,,-34.58042637,-58.6557288
292,9902068,CORREO HURLINGHAM,DR. ARTURO JAURETCHE 1305,HURLINGHAM,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.59103056,-58.63323344
1440,9249002,AGENCIA THEVENIN,THEVENIN 2401,HURLINGHAM,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:00hs a 19:00hs,Sáb. 08:00hs a 16:00hs ,,-34.572226,-58.636632
2533,5319169,CARREFOUR EXPRESS (0472),JAURETCHE 1125,HURLINGHAM,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.589661,-58.632687
2955,12049571,MAXIKIOSKO CLAVE DE FA,AV. PEDRO DIAZ 404,HURLINGHAM,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 19:00hs,,-34.613537,-58.637255
3285,12249125,LOCUTORIO MARCELA,MARQUEZ DE AVILES 1118,HURLINGHAM,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 08:00hs a 21:00hs ,,-37.949709,-57.767938
3744,11849204,FARMACIA BARRIENTOS,ACOYTE 3312,HURLINGHAM,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-34.593551,-58.665216
3874,8449003,ALIAMBA,AV. JULIO ROCA 760,HURLINGHAM,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-34.592964,-58.623382
4073,8749167,SERVICIOS DEL BARRIO,GURRUCHAGA 2572 LOCAL 8,HURLINGHAM,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 19:00hs,Sáb. 09:00hs a 13:00hs y 16:30hs a 19:00hs,,-34.594034,-58.650402
4733,6949552,EL TUCU,ISABEL DEL MAESTRO 3495,HURLINGHAM,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 14:00hs y 17:00hs a 21:00hs,,-34.591092,-58.656993
4818,10349129,SERVICIOS HURLINGHAM,JAURETCHE 1353,HURLINGHAM,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,,,-34.591031,-58.634451
5031,8149416,BORGESE SEGUROS,AV. GDOR VERGARA 4786,HURLINGHAM,Buenos Aires,0,0,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 19:00hs ,,-34.581492,-58.640299
5121,8149436,GESTION ARGENTINA,CONRADO VILLEGAS 1725,HURLINGHAM,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.578362,-58.655136
5822,8749276,GESTION ARGENTINA II,"MARQUES DE AVILES 939, LOCAL 18",HURLINGHAM,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 30:01hs y 16:30hs a 20:00hs,,,-34.579395,-58.641382
6058,8159604,AGL SEGUROS GONZALEZ,AV VERGARA 2197,HURLINGHAM,Buenos Aires,0,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,Sáb. 10:00hs a 13:00hs ,,-34.578032,-58.641161
5550,8159450,AGL SEGUROS CACCHIONE 1,AV. PEDRO DIAZ 1699,HURLINGHAM,Buenos Aires,0,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.602405,-58.65097
