IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
185,5207038,AXION ISIDRO CASANOVA (957),AV. J.M.DE ROSAS 6586,ISIDRO CASANOVA,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.70209992,-58.57977183
327,9902106,CORREO ISIDRO CASANOVA,AV. BRIG GRAL JUAN MANUEL DE ROSAS 6801,ISIDRO CASANOVA,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.703457,-58.581254
1030,8849458,LOCUTORIO FLOPY,POLLEDO 398,ISIDRO CASANOVA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,,-34.69886027,-58.60674655
1047,7049248,MAXIKIOSCO CRISTIANIA,CRISTIANIA 4649,ISIDRO CASANOVA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 08:00hs a 19:00hs ,,-34.71551263,-58.5775439
1421,7549500,CHUEQUITOS,PUJOL 2494,ISIDRO CASANOVA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:30hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 17:30hs a 21:00hs,,-34.69258394,-58.58909647
2261,12249060,N Y G HOSPITAL,J.M. DE ROSAS 5975,ISIDRO CASANOVA,Buenos Aires,0,1,1,0,Lun. a Vie. 07:30hs a 17:30hs ,,,-34.69867614,-58.57691818
2169,12249037,LOCUTORIO ATALAYA,CRISTIANIA 1651,ISIDRO CASANOVA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 14:00hs y 15:00hs a 18:00hs,Sáb. 08:30hs a 13:00hs ,,-34.696093,-58.603429
2529,5319165,CARREFOUR EXPRESS (0468),JUAN MANUEL DE ROSAS 6956,ISIDRO CASANOVA,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.704384,-58.583136
2926,12049555,KIOSCO NELLY,J RUCCI 4635,ISIDRO CASANOVA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 16:00hs a 21:00hs,,-34.712125,-58.565406
3016,5319348,CARREFOUR EXPRESS (499),AV. CRISTIANIA 1832,ISIDRO CASANOVA,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 21:30hs ,Sáb. 08:00hs a 21:30hs ,Dom. 11:00hs a 20:00hs ,-34.69768,-58.601354
3055,12049602,EL IMPERIO DEL CARAMELO,MARCONI 3391,ISIDRO CASANOVA,Buenos Aires,0,1,1,0,Lun. a Vie. 11:00hs a 22:00hs ,Sáb. 11:00hs a 22:00hs ,,-34.713123,-58.592888
3093,12049625,LA ARRANCA PARAGOLPES,LAVALLOL 1193,ISIDRO CASANOVA,Buenos Aires,1,1,1,0,Lun. a Vie. 07:00hs a 22:00hs ,Sáb. 07:00hs a 22:00hs ,Dom. 07:00hs a 22:00hs ,-34.714903,-58.59779
3452,5449434,CONFORT ALEX,AV. CARLOS CASARES 2447,ISIDRO CASANOVA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 12:00hs ,Sáb. 08:30hs a 12:00hs ,,-34.711931,-58.606938
3603,12049933,LA ARRANCA PARAGOLPES V,AV.MARCONI 4081,ISIDRO CASANOVA,Buenos Aires,1,1,1,0,Lun. a Vie. 00:00hs a 23:45hs ,Sáb. 00:00hs a 23:45hs ,,-34.716006,-58.588986
3319,10349082,PAGOS CROVARA,AV. CROVARA 5891,ISIDRO CASANOVA,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 20:00hs ,,-34.719233,-58.56845
3766,10249853,COMERCIO DE MARINA,AV. MARCONI 6117,ISIDRO CASANOVA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 14:00hs y 16:00hs a 21:00hs,,,-34.728231,-58.572716
4018,12449065,LA ARRANCA PARAGOLPES VII,REP DE PORTUGAL 3014,ISIDRO CASANOVA,Buenos Aires,0,1,1,0,Lun. a Vie. 00:00hs a 23:59hs ,Sáb. 00:00hs a 23:59hs ,Dom. 00:00hs a 23:59hs ,-34.700805,-58.583123
4756,12449262,LA ISLA DEL OESTE,LAFAYETTE 1091,ISIDRO CASANOVA,Buenos Aires,1,1,1,0,Lun. a Vie. 07:00hs a 23:30hs ,Sáb. 07:00hs a 23:30hs ,,-34.7071,-58.60682
4820,12449278,LA ARRANCA PARAGOLPES VIII,AV CRISTIANIA 1896,ISIDRO CASANOVA,Buenos Aires,1,1,1,0,Lun. a Vie. 12:00hs a 00:00hs ,Sáb. 12:00hs a 00:00hs ,Dom. 12:00hs a 00:00hs ,-34.698232,-58.600311
6723,,NSA AR ISIDRO CASANOVA,AV. INT CROVARA  6017,ISIDRO CASANOVA,Buenos Aires,1,0,0,0,Lun. a Vie. 0900 A 2100,Sáb. 0900 A 2100,,-34.720887,-58.56931
4985,9149028,TRIPLE B,REP. DE PORTUGAL 2913,ISIDRO CASANOVA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.700846,-58.585003
5210,8249101,FLOPY III,AV POLLEDO 288,ISIDRO CASANOVA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:30hs a 13:00hs y 16:00hs a 19:30hs,Sáb. 09:30hs a 13:00hs ,,-34.697823,-58.606578
5380,10349145,GRUPO NISTAL,JM DE ROSAS 6716,ISIDRO CASANOVA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.702644,-58.581115
5384,10359075,AGL SEGUROS ORGANIZACION JS,REP DE PORTUGAL 3063,ISIDRO CASANOVA,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-34.70112,-58.582804
