IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
68,6949081,LIBRERIA LO DE SILMI,LAVALLEJA 464,ITUZAINGO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:30hs a 13:00hs y 17:00hs a 20:00hs,,-34.64217,-58.663176
340,9902119,CORREO ITUZAINGO (BA),GRAL. FELIX DE OLAZABAL 728,ITUZAINGO,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.656868,-58.665378
1350,6449175,COOPIC,RANGUGNI 2702,ITUZAINGO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 16:00hs ,,,-34.639149,-58.689148
2049,90001098,C.S. CARREFOUR ITUZAINGO II,BLAS PARERA 650,ITUZAINGO,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,,-34.664799,-58.661381
2069,90001120,C.S. CARREFOUR ITUZAINGO,AV. INT. C. RATTI 1860,ITUZAINGO,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,,-34.64828127,-58.68683551
1837,5449378,M E BANOS Y COCINAS,SOLER 394,ITUZAINGO,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 13:00hs y 15:00hs a 19:00hs,Sáb. 10:00hs a 13:00hs y 15:00hs a 19:00hs,,-34.656921,-58.66838147
3295,10349081,GESTORIA VALVO Y ASOCIADOS,BRANDSEN 1713,ITUZAINGO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.645646,-58.681781
4490,90049075,PAGOS LAUTARO,JUNCAL 190,ITUZAINGO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,Sáb. 08:00hs a 18:00hs ,,-34.65717,-58.665175
4831,12349054,LOCUTORIO LOS PORTONES,BACACAY 402,ITUZAINGO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,,,-34.616642,-58.438779
5032,8149415,ICA 24 MARTIN FIERRO,MARTIN FIERRO Y CASTRO LOCAL 5,ITUZAINGO,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.614948,-58.70852
5037,8149420,ICA 24 ROCA,AVENIDA ROCA 2197,ITUZAINGO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.60253,-58.724418
5797,8159541,AGL SEGUROS GALANTE,SANTA ROSA 1902,ITUZAINGO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:30hs a 19:00hs ,,,-34.63866,-58.655748
5124,8159274,AGL SEGUROS MAZZA,GRAL LAS HERAS 610,ITUZAINGO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.653619,-58.668609
5136,8159282,AGL SEGUROS TROIANO ITUZAINGO,AV RATTI 1600,ITUZAINGO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.649469,-58.685131
5846,12449379,KIOSCO JUNCAL,JUNCAL 495,ITUZAINGO,Buenos Aires,0,1,1,0,Lun. a Vie. 07:30hs a 20:00hs ,Sáb. 08:00hs a 13:00hs ,,-34.654666,-58.666282
5914,8149583,ORGANIZACION TROIANO,AV. RATTI 1622,ITUZAINGO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.649304,-58.685351
5404,8159394,AGL SEGUROS SANZ,PTE PERON 9257,ITUZAINGO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.628676,-58.701085
