IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
28,5149489,FARMACIA TIRONE,AV. H.YRIGOYEN 2961,JOSE CLEMENTE PAZ,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 15:30hs a 20:00hs,Sáb. 08:30hs a 13:00hs y 16:00hs a 20:00hs,,-34.52471629,-58.76298994
293,9902069,CORREO JOSE C.PAZ,ROQUE SAENZ PENA 5009,JOSE CLEMENTE PAZ,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.52322322,-58.75229212
1772,11849076,FARMACIA VIEJA DEL PUEBLO,AV. H. YRIGOYEN 1861,JOSE CLEMENTE PAZ,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 16:00hs a 20:00hs,,,-34.52012052,-58.75288339
1832,10249565,AGENCIA EL REY DE LA SUERTE 5,PINERO 977,JOSE CLEMENTE PAZ,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-34.50754941,-58.74926233
2243,11849139,FARMACIA BERTINI,PUEYRREDON 2010,JOSE CLEMENTE PAZ,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:00hs,,,-34.527147,-58.747802
2379,11449044,MULTIVENTAS JU I,AV. H. YRIGOYEN 2550 LOC 11,JOSE CLEMENTE PAZ,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:00hs a 19:00hs,Sáb. 08:00hs a 13:00hs y 15:00hs a 19:00hs,,-34.522693,-58.760849
2383,11449045,MULTIVENTAS  JU II,H. YRIGOYEN 3700,JOSE CLEMENTE PAZ,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 17:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.527241,-58.771422
2616,5319132,CARREFOUR MAXI (705),AV. H. YRIGOYEN 3750,JOSE CLEMENTE PAZ,Buenos Aires,0,0,1,0,Lun. a Vie. 06:00hs a 21:00hs ,Sáb. 06:00hs a 21:00hs ,Dom. 10:00hs a 20:00hs ,-34.527673,-58.772384
2429,6949415,LIBRERIA PRINCESA BONITA,MUNOZ 4301,JOSE CLEMENTE PAZ,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 08:00hs a 21:00hs ,,-34.519667,-58.737182
3192,12049678,EL TUNEL II,FLORIDA  1543,JOSE CLEMENTE PAZ,Buenos Aires,1,1,1,0,Lun. a Vie. 00:00hs a 23:55hs ,,,-34.506597,-58.76124
3057,10249729,AGENCIA EL REY DE LA SUERTE 17,H. YRIGOYEN 292,JOSE CLEMENTE PAZ,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-34.511233,-58.733716
3088,10249737,AGENCIA EL REY DE LA SUERTE 19,AV. PTE PERON 4409,JOSE CLEMENTE PAZ,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-34.449651,-58.796936
3590,10249830,AGENCIA CROACIA,CROACIA 1854,JOSE CLEMENTE PAZ,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 18:00hs ,,-34.515869,-58.793336
4218,8749176,CENTRO SERVICIO JOSE C PAZ,GELLY Y OBES 4896,JOSE CLEMENTE PAZ,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.523401,-58.750999
3983,12449056,MAXIKIOSKO EL TUNEL III,GIRONDO 1715,JOSE CLEMENTE PAZ,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-34.517891,-58.752138
