IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
118,90003004,WAL MART LA PLATA,CNO. CENTENARIO 1879,LA PLATA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 00:00hs a 00:00hs ,-34.8512398,-58.08862894
152,10249161,AGENCIA MARIO,AV. 66 NRO 2504,LA PLATA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 20:45hs,Sáb. 08:30hs a 14:00hs y 16:30hs a 20:45hs,,-34.962185,-57.974241
377,9902162,CORREO LA PLATA,AV. 51 NRO 456,LA PLATA,Buenos Aires,1,0,1,0,Lun. a Vie. 08:00hs a 19:45hs ,,,-34.91315417,-57.945334
407,9902201,CORREO LA PLATA 2,DIAGONAL 74 NRO 1342,LA PLATA,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-34.91370845,-57.95445473
408,9902203,CORREO LA PLATA 4,AV. 7 NRO 1921,LA PLATA,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-34.930644,-57.928758
409,9902204,CORREO LA PLATA 5,CALLE 12 NRO 1493,LA PLATA,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-34.928439,-57.942875
410,9902205,CORREO LA PLATA 6,CALLE 63 NRO 2115,LA PLATA,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-34.952561,-57.969276
411,9902206,CORREO LA PLATA 7,CALLE 520 NRO 1422,LA PLATA,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-34.892959,-57.984246
826,9902672,CORREO AGENCIA 1 RENTAS,AV. 7 NRO 670,LA PLATA,Buenos Aires,1,0,1,0,Lun. a Vie. 08:00hs a 16:00hs ,,,-34.902577,-57.966004
1093,8849561,TELE LA PLATA,CALLE 12 NRO 758,LA PLATA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 09:00hs a 18:00hs ,,-34.921634,-57.951198
1095,7549190,POLIRUBRO CHIMANGO,CALLE 62 NRO 357,LA PLATA,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.9185105,-57.933783
1211,9902791,CORREO TERMINAL DE OMNIBUS,CALLE 42 NRO 443,LA PLATA,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-34.906469,-57.953765
1014,7049231,KIOSCO SUSANA,CALLE 40 NRO 365,LA PLATA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 14:00hs a 18:00hs,Sáb. 08:00hs a 12:00hs y 14:00hs a 18:00hs,,-34.90336917,-57.954451
