IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
113,90001022,C.S. LANUS,AV. H. YRIGOYEN 4464,LANUS,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 18:30hs ,Sáb. 09:00hs a 12:30hs ,,-34.70668892,-58.39110912
23,5149397,FARMACIA MONES,BALCARCE 802,LANUS,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:00hs a 18:00hs,Sáb. 08:00hs a 13:00hs y 15:00hs a 18:00hs,,-34.696561,-58.399937
27,5149482,FARMACIA MIGLIORE,TAGLE 3902,LANUS,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 12:00hs ,,-34.699212,-58.428617
43,5206032,SHELL BASAVILBASO,CNO. GRAL BELGRANO 1587,LANUS,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 08:00hs a 19:00hs ,Dom. 09:00hs a 12:00hs y 18:00hs a 19:00hs,-34.69680704,-58.36832973
258,9902031,CORREO LANUS,GRAL O HIGGINS  2055,LANUS,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.71011,-58.38823
324,9902103,CORREO VILLA INDUSTRIALES,CORONEL D ELIA 1638,LANUS,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.691021,-58.408001
1150,7049365,KIOSCO DIANA,MAXIMO PAZ 790,LANUS,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 13:30hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-34.69422358,-58.39695933
962,5149642,FARMACIA MARINA V,R.E. SAN MARTIN 1492,LANUS,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,,-34.68504635,-58.39935782
986,7049209,KIOSCO VIAMONTE,VIAMONTE 1714,LANUS,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 16:00hs a 19:00hs,Sáb. 09:00hs a 13:00hs ,,-34.69314343,-58.41146794
1249,7049535,KIOSCO EL TOPO QUEMERO,CORONEL SAYOS 1221,LANUS,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 19:30hs ,,,-34.69508722,-58.40543369
1292,9749032,ALMACEN MOMENTOS,AMANCIO ALCORTA 401,LANUS,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 14:00hs a 19:00hs ,,-34.700827,-58.396787
1647,90003047,WAL MART LANUS,BOULEVARD DE LOS ITALIANOS 321,LANUS,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-34.715634,-58.348527
1712,6949314,LIBRERIA OFIPEL,25 DE MAYO 1571,LANUS,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.7049015,-58.41406083
1787,6949328,LIBRERIA B Y J,MADARIAGA 1128,LANUS,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:30hs,Sáb. 08:00hs a 13:00hs y 17:00hs a 20:30hs,Dom. 08:00hs a 13:00hs ,-34.70886286,-58.3728288
1577,11849030,FARMACIA MARINA II,AV. RIVADAVIA 1900,LANUS,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:00hs a 21:00hs,Sáb. 08:30hs a 13:00hs y 16:00hs a 21:00hs,Dom. 08:30hs a 13:00hs y 16:00hs a 21:00hs,-34.686689,-58.410956
1889,7549838,MAXIKIOSCO LA COLO,MAXIMO PAZ 396,LANUS,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 14:00hs ,,,-34.69735141,-58.39321737
1931,12049160,MAXIKIOSCO MAXITODO,MENDOZA 3109,LANUS,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.69831943,-58.41911973
2606,5319121,CARREFOUR EXPRESS (0422),MURATURE 2169,LANUS,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.706973,-58.438935
2628,5319144,CARREFOUR EXPRESS (0447),CNEL D ELIA 1649,LANUS,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.690965,-58.408138
2636,5319152,CARREFOUR EXPRESS (0455),AV. H. YRIGOYEN 2323,LANUS,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.684721,-58.386478
2637,5319153,CARREFOUR EXPRESS (0456),SAN MARTIN 3960,LANUS,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.675793,-58.354286
2641,5319157,CARREFOUR EXPRESS (0460),EVA PERON 3330,LANUS,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.721054,-58.363181
2526,5319163,CARREFOUR EXPRESS (0466),29 DE SEPTIEMBRE 1880,LANUS,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.706663,-58.390073
2899,8149278,STOPCAR LANUS,AV. YRIGOYEN 5199,LANUS,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.714565,-58.393085
3591,11949328,MAXIKIOSCO MANIA,CORDOBA 950,LANUS,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.70367,-58.376128
3316,11849189,FARMACIA DE LA NUEVA ESQUINA,MAXIMO PAZ 1084,LANUS,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,Sáb. 10:00hs a 13:00hs ,,-34.69151,-58.400088
3395,11949282,MIS AMORES,MORENO 160,LANUS,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.701343,-58.394087
