IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
106,11149018,ESTUDIO CARNEVALE SANCHEZ Y ASOC,FELIX DE AZARA 137,LOMAS DE ZAMORA,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.75881184,-58.40438178
16,5149201,FARMACIA COSTA,JUAN XXIII 314,LOMAS DE ZAMORA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 19:00hs,,,-34.76896763,-58.43789263
75,7049136,DRUGSTORE CARAMELITO S,JOSE IGNACIO GORRITI 417,LOMAS DE ZAMORA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 19:00hs ,Sáb. 08:30hs a 17:30hs ,,-34.76196796,-58.4024592
259,9902032,CORREO LOMAS DE ZAMORA,AV. PTE H. YRIGOYEN  9109,LOMAS DE ZAMORA,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.76217514,-58.40228194
1008,6249038,PERFUMERIA O NELL,GENERAL FRIAS 275,LOMAS DE ZAMORA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:15hs a 12:30hs y 16:15hs a 18:00hs,,,-34.76128588,-58.42172788
1761,12049051,MAXIKIOSCO LAS HERMANAS 2,JUAN DOMINGO PERON 878 LOC 1,LOMAS DE ZAMORA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 20:30hs ,Sáb. 09:00hs a 20:30hs ,,-34.75869855,-58.43129604
1517,8849914,LOCUTORIO FERNANDO,FALUCHO 156,LOMAS DE ZAMORA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-34.765623,-58.4350605
1981,90001070,C.S. CARREFOUR LOMAS DE ZAMORA,OLIDEN 450,LOMAS DE ZAMORA,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 20:00hs ,Sáb. 10:00hs a 20:00hs ,Dom. 10:00hs a 15:00hs ,-34.76565561,-58.40363888
2000,8149221,BOSTONCRED LOMAS,BOEDO 593,LOMAS DE ZAMORA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:30hs a 19:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.75923527,-58.40438729
2642,5319158,CARREFOUR EXPRESS (0461),SALTA 160,LOMAS DE ZAMORA,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.769638,-58.355362
2463,11949130,MAXIKIOSCO DAI,AV. ALSINA 1993,LOMAS DE ZAMORA,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.759878,-58.396271
3569,12049909,DONA HILDA,CLAUDIO DE ALAS 2177,LOMAS DE ZAMORA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-34.720154,-58.465209
4084,7249123,LUJAN,PORTELA 552,LOMAS DE ZAMORA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 18:00hs ,,-34.7565996,-58.4040056
4158,8749171,CENTRO BALCARCE,BALCARCE 274,LOMAS DE ZAMORA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-34.761518,-58.39415
4194,12449126,MAXIKIOSCO LOS HERMANOS,SANTA FE 288,LOMAS DE ZAMORA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-34.754111,-58.420744
4672,10349113,LOMAS FACIL,ACEVEDO 57,LOMAS DE ZAMORA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.759951,-58.400979
6699,,NSA  AR AUKAN LIKUE,COSQUIN  2614,LOMAS DE ZAMORA,Buenos Aires,1,0,0,0,Lun. a Vie. 0900 A 1900,Sáb. 0900 A 1900,,-34.708951,-58.458032
5701,8159477,AGL ESTUDIO BLANCO,RECONDO 2181,LOMAS DE ZAMORA,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-34.719612,-58.460028
5035,8149419,ICA 24 LOMAS DE ZAMORA,SAAVEDRA 535,LOMAS DE ZAMORA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 19:00hs ,,-34.813199,-58.390093
5063,90001213,C.S. LOMAS DE ZAMORA II,HIPOLITO YRIGOYEN 8945,LOMAS DE ZAMORA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-34.759721,-58.402598
5785,8159533,AGL GUIAR SEGUROS,ALSINA 1817,LOMAS DE ZAMORA,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.757878,-58.396042
5209,8149456,OGM LOMAS,LAPRIDA 1755,LOMAS DE ZAMORA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-34.757606,-58.422041
5348,8159365,AGL ORGANIZACION COLACITO,FRIAS 104,LOMAS DE ZAMORA,Buenos Aires,0,0,1,0,Lun. a Vie. 09:30hs a 13:00hs y 15:30hs a 19:00hs,,,-34.759041,-58.421753
4902,12449291,SAGITARIO,PELEGRINI 61,LOMAS DE ZAMORA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 19:00hs ,,-34.760255,-58.397967
