IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
90,8649022,PANADERIA LE CRISTAL,ESPORA 5082,LONGCHAMPS,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 20:30hs,Sáb. 08:00hs a 13:00hs y 16:00hs a 20:30hs,,-34.84443469,-58.37770971
311,9902089,CORREO LONGCHAMPS,DR. MANUEL BELGRANO 1453,LONGCHAMPS,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.859608,-58.387796
2631,5319147,CARREFOUR EXPRESS (0450),BOLIVAR 1343,LONGCHAMPS,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.859434,-58.386243
2632,5319148,CARREFOUR EXPRESS (0451),GUATAMBU 12,LONGCHAMPS,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.852322,-58.400997
5202,8749225,SERVIRED ANELEY,HIPOLITO YRIGOYEN 13807,LONGCHAMPS,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 19:00hs ,,-34.820375,-58.395176
5212,8749226,SERVIRED,EMILIO BOURGWART Y BRONW,LONGCHAMPS,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 19:00hs ,,-34.860348,-58.384431
6100,8159635,AGL SEGUROS DEL SUR,HIPOLITO YRIGOYEN 18139,LONGCHAMPS,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 18:00hs ,,,-34.857314,-58.392141
5442,8159410,AGL ESTUDIO PALLAS,EMILIO BURGWARDT 1030,LONGCHAMPS,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 18:00hs ,,,-34.860763,-58.383568
5540,8159449,AGL GRUPO AMPRAS,HENRY BREGI 998,LONGCHAMPS,Buenos Aires,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 15:30hs a 20:00hs,,,-34.860161,-58.382997
5629,8159481,AGL ESTUDIO RAM,SAN MARTIN  625,LONGCHAMPS,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.858244,-58.388266
