IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
557,9902354,CORREO MAR DEL PLATA - 5,SARMIENTO 2702,MAR DEL PLATA,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-38.012972,-57.542802
563,9902360,CORREO MAR DEL PLATA,LURO 2460,MAR DEL PLATA,Buenos Aires,1,0,1,0,Lun. a Vie. 08:00hs a 19:45hs ,,,-37.99970057,-57.54426994
203,5207061,AXION EL GAUCHO (918),AV.JUAN B. JUSTO 6065,MAR DEL PLATA,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-38.00042586,-57.59552745
204,5207063,AXION JARA (941),AV. COLON 5002,MAR DEL PLATA,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-37.991594,-57.573798
209,5207065,AXION MORENO (934),MORENO 3151,MAR DEL PLATA,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-37.99930343,-57.55373396
210,5207066,AXION PARQUE (940),AV. CONSTITUCION 4703,MAR DEL PLATA,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-37.96727878,-57.54991504
595,9902394,CORREO MAR DEL PLATA - 1,COLON 5556,MAR DEL PLATA,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-37.98879494,-57.57939163
596,9902395,CORREO MAR DEL PLATA SUC. 2,GRAL. MARIANO ACHA 350,MAR DEL PLATA,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-38.04233494,-57.54626573
678,9902493,CORREO GUEMES,GRAL. GUEMES 2714,MAR DEL PLATA,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-38.01458188,-57.53988424
712,9902538,CORREO MAR DEL PLATA SHOPPING,H. YRIGOYEN 1333,MAR DEL PLATA,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-37.99525714,-57.54691773
