IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
380,9902165,CORREO MARTINEZ - 1 (UNICENTER),AV. PARANA  3745 LOC 1270 NIVEL 1,MARTINEZ,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 20:00hs ,Sáb. 10:00hs a 13:00hs ,Dom. 10:00hs a 20:00hs ,-34.509736,-58.522427
306,9902083,CORREO MARTINEZ,AV. SANTA FE 2052,MARTINEZ,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.49032871,-58.4997421
1638,8949467,TELECENTRO MARTINEZ,RAWSON 2031,MARTINEZ,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 10:00hs a 13:00hs ,,-34.488156,-58.497199
2041,90001094,C.S. CARREFOUR SANTA FE Y EDISON,AV. SANTA FE 2349,MARTINEZ,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,,-34.49285516,-58.49843427
2930,10249706,VIA NORTE EDISON,EDISON 989,MARTINEZ,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 20:00hs ,Sáb. 09:30hs a 18:00hs ,,-34.49804,-58.510006
2933,10249709,AGENCIA VIA NORTE 4,SIR. A FLEMING 2427,MARTINEZ,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 20:00hs ,Sáb. 09:00hs a 19:00hs ,,-34.502169,-58.517494
2934,10249710,AGENCIA VIA NORTE 5,MARIANO PELLIZA 2701,MARTINEZ,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 20:00hs ,Sáb. 09:00hs a 19:00hs ,,-34.513388,-58.503383
3511,10249816,AGENCIA PARANA,PARANA 3915,MARTINEZ,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-34.509767,-58.524354
3528,12049877,DRUGSTORE KEKIOSCO,MONSENOR LARUMBE 20,MARTINEZ,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,,,-34.488263,-58.501781
4296,12449146,KIOSCO LAS GALLETITAS,HABANA 2290,MARTINEZ,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 12:00hs ,,-34.50473,-58.527032
5845,8749278,SERVICIOS MARTINEZ,AV.SANTA FE 1553,MARTINEZ,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.486225,-58.502712
