IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
477,9902273,CORREO MERCEDES(BA),CALLE 29 NRO 645,MERCEDES,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-34.649645,-59.431625
1106,7049303,POLIRUBRO CHAVY,CALLE 12 Y CALLE 35 LOC 3 Y 4,MERCEDES,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,,-34.655657,-59.436003
1181,6749041,PINTURERIA EL PINTOR,CALLE 40 NRO 325,MERCEDES,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 15:00hs a 20:00hs,Sáb. 08:00hs a 12:00hs y 15:00hs a 20:00hs,,-34.646414,-59.422445
911,8849332,LOCUTORIO PLAZA MERCEDES,CALLE 26 NRO 619,MERCEDES,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:00hs a 21:00hs,Sáb. 08:00hs a 13:00hs y 15:00hs a 21:00hs,,-34.6509655,-59.42969
960,11149033,ESTUDIO BADANO - FEDULLO,CALLE 18 NRO 740,MERCEDES,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 15:00hs ,Sáb. 08:00hs a 13:00hs ,,-34.65341758,-59.43281317
2248,10349066,MOSSO SEGUROS,CALLE 14 NRO 157,MERCEDES,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.65730975,-59.42184425
2103,9849100,CASA LUGUI,CALLE 19 NRO 1087,MERCEDES,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 14:00hs y 16:30hs a 21:00hs,Sáb. 08:00hs a 14:00hs y 16:30hs a 21:00hs,Dom. 08:30hs a 14:00hs ,-34.661303,-59.429427
4587,9749303,KIOSCO LOS GALLEGOS,CALLE 29 NRO 726,MERCEDES,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-34.648251,-59.43127
5738,10359089,AGL SEGUROS MARIANO,CALLE 29 NRO 342,MERCEDES,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 20:00hs,,,-34.654112,-59.432846
4920,6949563,LIBRERIA AVENIDA,AVDA 47 N 811,MERCEDES,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:30hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 20:30hs,,-34.644928,-59.440728
