IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
260,9902033,CORREO MERLO (BA),AV. DEL LIBERTADOR 556,MERLO,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.668675,-58.7256
975,5149655,FARMACIA VINTAGE MERLO,PTE. CAMPORA 2289,MERLO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-34.663876,-58.726706
2535,5319171,CARREFOUR EXPRESS (0474),ECHEVERRI 943 - 951,MERLO,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.703387,-58.743582
2658,5319190,CARREFOUR EXPRESS (0497),AV. J.D.PERON 25694,MERLO,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.665895,-58.720638
2897,10249701,NEGRO EL ONCE 2,AV. PATRICIOS 5598,MERLO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,,,-34.702227,-58.70186
2725,12049499,MAXIKIOSCO BRUNO,CALLE REAL 57,MERLO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.673656,-58.72296
3556,12049901,MAXIKIOSCO EL MUNDO,MAIPU 635,MERLO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.668964,-58.726165
4186,12449116,MAXIKIOSCO TOMY,CERVANTES 1376,MERLO,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,Sáb. 10:00hs a 18:00hs ,,-34.664464,-58.737983
5732,8149551,ORGANIZACION NOTO,JUJUY 989,MERLO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.664926,-58.731096
5083,8149434,SEGUROS BERNAT CAMPORA,H CAMPORA 2199,MERLO,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 15:00hs a 19:00hs,,,-34.663712,-58.726081
5089,8149435,SEGUROS BERNAT CALLE REAL,CALLE REAL 787,MERLO,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.677652,-58.713016
5787,8149559,ORGANIZACION CANDA,AVELLANEDA 601,MERLO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 15:00hs a 19:00hs,Sáb. 09:00hs a 13:00hs ,,-34.66699,-58.72433
5304,8159343,AGL SEGUROS DE STEFANO,R. BALBIN 3410,MERLO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.722976,-58.791331
5994,5449500,RUSOGAR,RICARDO BALBIN 6398,MERLO,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 13:00hs y 16:00hs a 19:00hs,,,-34.739227,-58.803819
4954,8149387,SEGUROS EL PARQUE,25 DE MAYO 2909,MERLO,Buenos Aires,1,1,1,0,Lun. a Vie. 09:30hs a 13:00hs y 17:00hs a 19:00hs,,,-34.687954,-58.728814
