IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
261,9902034,CORREO MONTE GRANDE,VICENTE LOPEZ 448,MONTE GRANDE,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.81988,-58.466936
841,9902688,CORREO CEDE MONTE GRANDE,AV. FAIR 1101,MONTE GRANDE,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.810856,-58.491256
964,8249014,TURISMO GLM ARGENTINA,NUESTRAS MALVINAS 153,MONTE GRANDE,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 21:00hs ,Sáb. 08:30hs a 21:00hs ,,-34.813481,-58.470537
989,7049211,DRUGSTORE PILAR,ARANA 41,MONTE GRANDE,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 14:00hs y 16:00hs a 18:30hs,Sáb. 10:00hs a 13:00hs ,,-34.81539504,-58.46793792
3227,6949464,LA CUEVA,LEANDRO N. ALEM 931,MONTE GRANDE,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 16:00hs ,Sáb. 08:30hs a 13:00hs ,,-34.82389,-58.462369
3248,12049718,CHUCHU,CARMEN DE ARECO 4,MONTE GRANDE,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 13:30hs y 16:30hs a 20:30hs,,,-34.845153,-58.447321
3254,8249066,GRAN CRED,AMEGHINO 9,MONTE GRANDE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.817229,-58.467329
4066,11949449,ALMA MIA,BRUZONE 798,MONTE GRANDE,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-34.832619,-58.466244
6737,,NSA AR MONTE GRANDE - 9 DE ABRIL,AV. OLIVER  1234,MONTE GRANDE,Buenos Aires,1,0,0,0,Lun. a Vie. 0800 A 1900,Sáb. 0800 A 1900,Dom. 0900 A 1200,-34.7786922,-58.4758249
5033,8149417,ICA 24 ALEM,ALEM 1080,MONTE GRANDE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.825275,-58.461148
5040,8149423,ICA 24 CERVETTI,CERVETTI 567,MONTE GRANDE,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.816105,-58.487447
5041,8149424,ICA 24 MALVINAS,NUESTRAS MALVINAS 299,MONTE GRANDE,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.811934,-58.471604
5206,8149455,OGM MONTE GRANDE,JOAQUIN  V GOZALEZ 446,MONTE GRANDE,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-34.799794,-58.473211
6012,8149612,BOSTON CRED 9 DE ABRIL,RESTELLI 1656,MONTE GRANDE,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.755658,-58.485897
6027,8149625,ORGANIZACION MP JAGUEL,TOMAS EDISON 2806,MONTE GRANDE,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 20:00hs ,,,-34.825308,-58.501189
