IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
7,5149044,FARMACIA ORLOWSKI,AV. DEL LIBERTADOR Y CHILE,MORENO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:30hs a 18:30hs,Sáb. 09:00hs a 13:00hs ,,-34.633259,-58.782379
36,5149518,FARMACIA ALTOS DE MORENO,AV. LIBERTADOR 299,MORENO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-34.646946,-58.789634
294,9902070,CORREO MORENO,BARTOLOME MITRE 2402,MORENO,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.650511,-58.784491
1460,90003035,CHANGO MAS MORENO (WAL MART),AV. ROCA Y SANTOS DUMONT LOC 4,MORENO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-34.588879,-58.74297
1491,6749062,FERRETERIA VICTOR HUGO,RUTA 24 NRO 9377,MORENO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:00hs a 20:00hs,Sáb. 08:00hs a 13:00hs y 15:00hs a 20:00hs,,-34.54831033,-58.81258933
1231,5149878,FARMACIA RONIFE,H. YRIGOYEN 1471,MORENO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 13:30hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 14:00hs ,,-34.654608,-58.79926
1244,7049524,MAXIKIOSCO LOS 3 CHIFLADOS,CRISOLOGO LARRALDE 792,MORENO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:30hs a 13:00hs y 17:00hs a 19:00hs,,,-34.64531233,-58.80198
1759,7849032,INDABURU PROPIEDADES,BELGRANO 243,MORENO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 20:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.64828214,-58.78715171
2018,90001085,C.S. CARREFOUR MORENO,ALEJANDRO GRAHAM BELL 2350,MORENO,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,,-34.63398,-58.764809
1838,11849092,FARMACIA CENTRAL GAONA,AV. GAONA 5861,MORENO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 17:00hs ,Sáb. 09:00hs a 17:00hs ,,-34.634871,-58.786121
2528,5319164,CARREFOUR EXPRESS (0467),BOULEVARD A. ALCORTA 2854,MORENO,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.650417,-58.791145
2876,12049523,SUPERKIOSCO IBIZA,ESPANA 184,MORENO,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 08:30hs a 19:00hs ,,-34.648231,-58.789435
2943,5449423,LA CARLOTA DECO,RUTA 25 NRO 2515,MORENO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 14:00hs a 18:00hs,Sáb. 08:00hs a 13:00hs ,,-34.610588,-58.813055
2946,12049564,MAXIKIOSCO PLAY I,JOLY 2716,MORENO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 19:00hs ,,-34.652036,-58.789738
2947,12049565,MAXIKIOSCO PLAY II,PIOVANO 2912,MORENO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 19:00hs ,,-34.650199,-58.791939
3500,5320015,SUPERMAYORISTA VITAL MORENO,ACCESO OESTE Y CRUCE GRAHAM BELL,MORENO,Buenos Aires,0,0,1,0,Lun. a Vie. 07:00hs a 20:00hs ,Sáb. 07:00hs a 20:00hs ,,-34.63401,-58.791382
