IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
80,7549064,AGENCIA EL PARAISO,GRAL. ALVAREZ DE ARENALES 406,MORON,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 13:30hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 13:00hs ,,-34.65804978,-58.60348333
100,10249083,AGENCIA LEANDRO,DR. RICARDO BALBIN 902,MORON,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:30hs a 19:00hs,Sáb. 10:00hs a 13:00hs ,,-34.641153,-58.619971
105,11149006,ESTUDIO ANTONIO ANGIO,GRAL. MUNILLA 986 PISO 1 DTO 2,MORON,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 16:00hs ,,,-34.64503543,-58.62168143
12,5149128,FARMACIA TOSCANO,INT. AGUERO 1807,MORON,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 08:30hs a 13:30hs ,,-34.672358,-58.609049
18,5149254,FARMACIA AUTHIER,AV. EVA PERON 2698,MORON,Buenos Aires,0,0,1,0,Lun. a Vie. 08:30hs a 12:30hs y 15:30hs a 20:00hs,Sáb. 08:30hs a 12:30hs ,,-34.67873997,-58.632417
262,9902035,CORREO MORON,GRAL. M. BELGRANO 252,MORON,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.65154112,-58.62045537
1187,7049435,POLIRUBRO VANESA,PATAGONES 1019,MORON,Buenos Aires,1,1,1,0,Lun. a Vie. 07:30hs a 13:00hs y 16:00hs a 21:00hs,Sáb. 07:30hs a 13:00hs y 16:00hs a 21:00hs,Dom. 07:30hs a 13:00hs ,-34.680773,-58.63104325
1490,7849028,COGLI PROPIEDADES,ALTE. BROWN 828 LOC 2,MORON,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 13:00hs y 15:00hs a 18:00hs,,,-34.65101492,-58.61956271
1977,90001066,C.S. CARREFOUR MORON (VILLA TESEI),AV. VERGARA 1910,MORON,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,,-34.620763,-58.633205
2153,12049264,MAXIKIOSCO LAS TRIBUS,SALTA 285,MORON,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 13:00hs y 14:00hs a 18:00hs,,,-34.64610571,-58.62034643
