IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
187,8849288,TELEFONICA OFICINA COMERCIAL,CALLE 61 NRO 2432,NECOCHEA,Buenos Aires,0,1,1,0,Lun. a Vie. 07:30hs a 14:00hs y 16:30hs a 18:30hs,,,-38.55667,-58.738785
188,8049025,SERVICIOS DIVER TOUR S.A. NECOCHEA,CALLE 62 NRO 3155,NECOCHEA,Buenos Aires,1,1,1,0,Lun. a Vie. 07:30hs a 14:00hs ,,,-38.55499331,-58.74404008
547,9902344,CORREO NECOCHEA,CALLE 58 NRO 3088,NECOCHEA,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-38.55586327,-58.7415532
1422,7549494,CASA PERALTA,CALLE 66 NRO 2945 LOCAL 43-44-47,NECOCHEA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 08:00hs a 21:00hs ,,-38.55192739,-58.74399051
1439,7549515,LUCHO IBIZA,CALLE 57 NRO 2497,NECOCHEA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 18:00hs a 20:30hs,Sáb. 08:30hs a 13:00hs y 18:00hs a 20:30hs,,-38.5537605,-58.736139
2481,10249680,AGENCIA 75,CALLE 58 NRO 3675,NECOCHEA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 08:00hs a 15:00hs ,,-38.56055,-58.74684
2859,11949169,KIOSCO 42,CALLE 42 NRO 3584,NECOCHEA,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 21:00hs ,Sáb. 10:00hs a 21:00hs ,,-38.56575,-58.738263
3782,12049994,KIOSCO MASTER,AV.98 Nro.3982,NECOCHEA,Buenos Aires,0,0,1,0,Lun. a Vie. 07:30hs a 13:30hs y 15:30hs a 20:30hs,Sáb. 08:00hs a 13:30hs y 16:00hs a 20:30hs,,-38.547933,-58.769013
4163,5349380,SUPERMERCADO PUERTOMAR,AV. 10 Nro 3360,NECOCHEA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 21:30hs,Sáb. 08:30hs a 13:00hs y 17:00hs a 21:30hs,,-38.574861,-58.721953
6473,,CORREO NECOCHEA (AGENCIA),CALLE 85  337,NECOCHEA,Buenos Aires,1,0,0,0,Lun. a Vie. 0900 A 1700,,,-38.58076154,-58.7317926
5812,9249012,AUTOMOTORES MART CAR,CALLE 59 NRO 1145,NECOCHEA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 15:30hs a 20:00hs,,,-38.565309,-58.72498
6114,,AGENCIA 75,CALLE 58  3675,NECOCHEA,Buenos Aires,1,0,0,0,Lun. a Vie. 0800 A 1900,Sáb. 0800 A 1500,,-38.56055,-58.74684
5523,12449353,KIOSCO + 75,CALLE 75 N¿ 1132,NECOCHEA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 19:00hs ,,-38.564648,-58.723891
