IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
3071,7849045,GOMEZ JAVIER,DORREGO 2458,OLAVARRIA,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 15:00hs ,,,-36.890163,-60.323651
3838,6149332,AUTOSERVICIO LA 5TA AVENIDA,AV. URQUIZA 3819,OLAVARRIA,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 14:00hs y 18:30hs a 23:00hs,,,-36.89501,-60.303911
4530,11949502,TIO TITO,DEL VALLE 5192,OLAVARRIA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-36.913847,-60.307835
6292,,CORREO FORTIN OLAVARRIA,SARMIENTO  1,OLAVARRIA,Buenos Aires,1,0,0,0,Lun. a Vie. 0900 A 1200,,,-36.883436,-60.314945
5281,8149465,SEGUROS ALVAREZ,BOLIVAR 3124,OLAVARRIA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 14:00hs ,,,-36.898686,-60.323098
5362,5249117,SERCOB GRAL PAZ,GENERAL PAZ 2467,OLAVARRIA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,,,-36.892249,-60.325743
5397,8159393,AGL SEGUROS ALONSO,BOLIVAR 6456,OLAVARRIA,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 16:00hs ,,,-36.910026,-60.309065
5418,11949608,KIOSCO MIS 3 SOLES,AV URQUIZA 2367,OLAVARRIA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:00hs a 19:00hs,,,-36.90477,-60.316022
4918,11949566,KIOSCO VIRA LATA,NECOCHEA 2678,OLAVARRIA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 08:00hs a 19:00hs ,Dom. 08:00hs a 19:00hs ,-36.891014,-60.320914
4973,8149397,ORGANIZACION R.R.OBESIO SEGUROS,AV. DEL VALLE 3025,OLAVARRIA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 15:30hs a 19:00hs,,,-36.899177,-60.325404
