IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
79,7549047,POLIRUBRO FELISA,JOSE MARIA PAZ 4220,OLIVOS,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 14:00hs ,,-34.50393896,-58.50701231
95,10249020,AGENCIA SPIRY,RICARDO GUTIERREZ 1525,OLIVOS,Buenos Aires,1,1,1,0,Lun. a Vie. 07:00hs a 17:00hs ,Sáb. 08:00hs a 14:00hs ,,-34.51198578,-58.48997204
176,5207028,AXION PELLIZA (956),MARIANO PELLIZA 3685,OLIVOS,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.51810286,-58.51223214
177,5207029,AXION OLIVOS (919),AV. DEL LIBERTADOR 2376,OLIVOS,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.5091272,-58.47820161
199,5207053,AXION PANAMERICANA (910),PARANA 3944,OLIVOS,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.51060514,-58.52410086
362,9902144,CORREO OLIVOS,AV. MAIPU 2683,OLIVOS,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.51118455,-58.48990884
1089,7049283,POLIRUBRO OLIVOS,AV. MAIPU 2849,OLIVOS,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.50998563,-58.49064084
1993,90001073,C.S. CARREFOUR OLIVOS,UGARTE 1980,OLIVOS,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 15:00hs ,,-34.5163898,-58.49446131
2176,8149244,PRONTO PAGOS OLIVOS,AV. MAIPU 2525,OLIVOS,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:30hs a 14:00hs ,,-34.51248467,-58.48912302
2935,10249711,AGENCIA VIA NORTE 6,PARANA 2416,OLIVOS,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 18:00hs ,Sáb. 08:30hs a 18:00hs ,,-34.502297,-58.507217
2936,10249712,AGENCIA VIA NORTE 7,MAIPU 2387 LOC 11,OLIVOS,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 18:00hs ,Sáb. 08:30hs a 18:00hs ,,-34.513449,-58.489172
4349,10249950,AGENCIA SALVADOR,UGARTE 3382,OLIVOS,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 15:00hs a 18:00hs,,,-34.523296,-58.509853
6690,,GREEN TOUR II,AV. MAIPU  3301,OLIVOS,Buenos Aires,1,0,0,0,Lun. a Vie. 0900 A 1700,Sáb. 0900 A 1230,,-34.505767,-58.492979
5952,8149592,ATM OLIVOS,UGARTE 2325,OLIVOS,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.517627,-58.499117
