IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
467,9902263,CORREO PERGAMINO,DE LA MERCED 173,PERGAMINO,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-33.89089992,-60.57184643
1077,8849519,LOCUTORIO SIRIA,SIRIA 794,PERGAMINO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 15:30hs a 18:30hs,Sáb. 09:00hs a 13:00hs ,,-33.88377208,-60.56746067
1169,8849675,LOCUTORIO AMEGHINO,AMEGHINO 705,PERGAMINO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 13:30hs y 16:00hs a 21:00hs,Sáb. 08:00hs a 13:30hs y 16:00hs a 21:00hs,,-33.88214445,-60.57477314
1585,10249502,LOTERCENTER I,AV. DE MAYO 1286,PERGAMINO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:45hs a 13:45hs y 16:30hs a 20:30hs,,,-33.891027,-60.578872
1586,10249503,LOTERCENTER II,AV. ILLIA 1786,PERGAMINO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:45hs a 13:45hs y 16:30hs a 20:30hs,,,-33.903006,-60.586034
1587,10249504,LOTERCENTER III,SAN NICOLAS 605,PERGAMINO,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 16:00hs a 19:00hs,,,-33.89520269,-60.57232361
2096,9749139,DESPENSA TOLOSA,GUIDO 1870,PERGAMINO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 21:00hs,Dom. 09:00hs a 13:00hs y 17:00hs a 21:00hs,-33.88382588,-60.58077747
4437,9749298,MAXIKIOSCO SANTI,AV. ILLIA 2580,PERGAMINO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 22:30hs ,,,-33.911021,-60.589651
4842,8249096,AGENCIA PERGAMINO,AVDA COLON 397,PERGAMINO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 13:00hs y 16:00hs a 20:00hs,,-33.890206,-60.580123
5103,6449350,MUTUAL PAMPA PERGAMINO,SAN NICOLAS 821,PERGAMINO,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:00hs,,,-33.896807,-60.574229
5790,10349154,ORGANIZACION SEGUROS COLAVECCHIO,ROCHA 693,PERGAMINO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 16:00hs ,,,-33.89721,-60.566813
5343,12449344,KIOSCO DISCOVERY,AV DE MAYO 727,PERGAMINO,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs ,,,-33.892511,-60.573896
5432,8759053,AGL SEGUROS SUSAN,ITALIA 502,PERGAMINO,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 19:30hs,,,-33.892972,-60.575989
5533,8749257,SEGUROS CALDERON,UGARTE 902,PERGAMINO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 16:00hs ,,,-33.894611,-60.555498
