IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
198,5207052,AXION PILAR (932),RUTA 8 KM 50,PILAR,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.443369,-58.8733
423,9902219,CORREO PILAR (BA),PEDRO LAGRAVE 451,PILAR,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 17:30hs ,,,-34.45727518,-58.91050478
1179,5149831,FARMACIA DEL PILAR,AV. 9 DE JULIO 213,PILAR,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 19:30hs ,Sáb. 08:30hs a 19:30hs ,Dom. 09:00hs a 19:30hs ,-34.45099739,-58.90554924
1617,8049156,TODO SERVICIOS III,RIVADAVIA 560 LOC 60,PILAR,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.45803218,-58.91254086
1592,11849034,FARMACIA BONEL,RUTA 26 NRO 3360,PILAR,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 12:00hs y 16:00hs a 20:00hs,,-34.413631,-58.773226
2026,90001088,C.S. CARREFOUR PILAR,AV. JOSE E. URIBURU 943,PILAR,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,,-34.455362,-58.893569
2102,12049229,POLIRUBRO SILVI,PTE. DERQUI 2013,PILAR,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 14:00hs a 19:00hs,Sáb. 09:00hs a 12:00hs y 14:00hs a 19:00hs,,-34.453079,-58.840805
2849,10249693,AGENCIA EL REY DE LA SUERTE 15,FITZ ROY 1207,PILAR,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-34.467072,-58.91586
2870,90001188,C.S. CARREFOUR PILAR (MARQUET),SARRATEA 43,PILAR,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,,-34.455772,-58.910397
3118,5321001,ECO 21,R. CAAMANO 1270,PILAR,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 08:00hs a 21:00hs ,,-34.409597,-58.849983
3148,8049319,SIMPLE SERVICIOS,AV. CAAMANO 1175 LOC 15  PISO 1,PILAR,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 17:30hs ,,,-34.410518,-58.849262
3034,5320001,SUPERMAYORISTA VITAL PILAR,PANAMERICANA RAMAL PILAR KM 49,PILAR,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-34.441949,-58.852606
3058,8049308,MDP SERVICIOS,COL.12 DE OCTUBRE KM54 P.CHAMPAGNAT L153,PILAR,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 20:00hs ,Sáb. 10:00hs a 20:00hs ,,-34.450942,-58.916851
3866,10249865,AGENCIA REY PILAR,GUIDO 803,PILAR,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.452035,-58.894732
3913,8749142,BULL NET PILAR CENTRO,TUCUMAN 591,PILAR,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.455644,-58.913085
6744,,NSA AR PILAR POINT - SHOPPING,ESTANISLAO LOPEZ  538 LOCAL 20,PILAR,Buenos Aires,1,0,0,0,Lun. a Vie. 0700 A 2200,Sáb. 0700 A 2200,Dom. 0700 A 2200,-34.454721,-58.912301
6765,,NSA AR VILLA ASTOLFI,LAS PIEDRAS  3075,PILAR,Buenos Aires,1,0,0,0,Lun. a Vie. 0800 A 1300 1600 A 2100,Sáb. 0800 A 1300 1600 A 2100,Dom. 0800 A 1300 1600 A 2100,-34.482557,-58.874681
5074,90001215,C.S.PILAR,AV.TOMAS MARQUEZ 1238,PILAR,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-34.465488,-58.90889
5165,8159290,AGL LUCERO SEGUROS PILAR 2,TUCUMAN 288,PILAR,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.455687,-58.909764
5954,5321004,ECO PILARA,"LAVALLE 995, PANAMERICANA KM 56,5",PILAR,Buenos Aires,0,0,1,0,Lun. a Vie. 10:00hs a 17:00hs ,Sáb. 10:00hs a 17:00hs ,,-34.48861,-58.846652
5965,90001260,C.S. PILAR II,11 DE SEPTIEMBRE 632,PILAR,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-34.458531,-58.915964
