IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
24,5149423,FARMACIA MAGA SHOP MEGA SOL,JOAQUIN V. GONZALEZ 2001,QUILMES OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 08:00hs a 13:00hs ,,-34.742513,-58.27874
37,5149521,FARMACIA MAGA SHOP QUILMES,ANDRES BARANDA 100,QUILMES OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.717968,-58.274199
363,9902146,CORREO QUILMES OESTE,12 DE OCTUBRE 2498,QUILMES OESTE,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.739595,-58.28365
1163,5149823,FARMACIA MAGA SHOP SANAR 4,CALCHAQUI 1015,QUILMES OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 19:00hs ,Dom. 09:00hs a 19:00hs ,-34.73793957,-58.29304171
1219,90003020,C. S. WAL MART QUILMES,CALCHAQUI 700,QUILMES OESTE,Buenos Aires,1,1,1,0,Lun. a Vie. 07:00hs a 21:00hs ,Sáb. 07:00hs a 21:00hs ,Dom. 08:00hs a 22:00hs ,-34.73187502,-58.29723169
1406,5149976,FARMACIA MAGA SHOP SANAR 8,12 DE OCTUBRE 2347,QUILMES OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 17:00hs ,,-34.73919882,-58.28166531
1253,8049086,AUTOSERVICIO EL GALLEGO,GENERAL BELGRANO 1896,QUILMES OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 07:30hs a 13:30hs y 16:30hs a 20:00hs,Sáb. 07:30hs a 13:30hs y 16:30hs a 20:00hs,Dom. 07:30hs a 13:30hs ,-34.74959792,-58.30723138
1710,11849065,MAGA SHOP SANAR 12,ANDRES BARANDA 1177,QUILMES OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 21:00hs ,,-34.72734845,-58.26759486
1883,9749122,ALMACEN DANIEL,SAN MAURO 4043,QUILMES OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-34.74897535,-58.29738365
2331,11849147,FARMACIA MAGA SHOP MOSCONI,AV. MOSCONI 1001-7,QUILMES OESTE,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.73986,-58.297153
2392,11849154,MAGA NATIONAL PHARMA,MOSCONI 5123,QUILMES OESTE,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.772088,-58.282599
2201,11849134,FARMACIA QUILMES OESTE,AV. 12 DE OCTUBRE 440,QUILMES OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.72966828,-58.2623191
3039,6249081,PANALERA GENESIS II,F. AMOEDO 4379,QUILMES OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,,,-34.752979,-58.301905
3470,11949301,POLIRUBRO SAN JORGE,898 BIS NRO 845,QUILMES OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.791642,-58.30711
3377,8049333,ZOSIMO,AV. CALCHAQUI 3399,QUILMES OESTE,Buenos Aires,1,1,1,0,Lun. a Vie. 07:00hs a 20:00hs ,Sáb. 07:00hs a 20:00hs ,,-34.755214,-58.282411
4677,12449249,KIOSCO KING,AV. 12 DE OCTUBRE 844,QUILMES OESTE,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,,,-34.731103,-58.267071
4681,11849250,SOY TU FARMACIA SOY SANAR 60,AV. CALCHAQUI 2101,QUILMES OESTE,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.746822,-58.287262
4683,11849252,SOY TU FARMACIA SOY SANAR 59,CALCHAQUI 2748,QUILMES OESTE,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.751459,-58.285318
4539,11849241,FARMACIA EZPELETA III,AV. LA PLATA 1702,QUILMES OESTE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.737477,-58.277073
6748,,NSA AR QUILMES OESTE,AV. CALCHAQUI  1568,QUILMES OESTE,Buenos Aires,1,0,0,0,Lun. a Vie. 0800 A 2200,Sáb. 0800 A 2200,Dom. 0900 A 2200,-34.742589,-58.28963
5425,8159367,AGL SEGUROS CASARETO,12 DE OCTUBRE 1384,QUILMES OESTE,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.733824,-58.272285
5563,8159368,AGL SEGUROS FERNANDEZ CASTRO,CALLE 384 NRO 3459,QUILMES OESTE,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.753987,-58.200528
