IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
191,5207042,AXION MITRE (442),AV. GRAL MITRE 880-92,QUILMES,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.725414,-58.25060783
192,5207043,AXION QUILMES (765),PTE. PERON 250,QUILMES,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.72798108,-58.26113504
375,9902160,CORREO QUILMES,H. YRIGOYEN 405,QUILMES,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.72097911,-58.261837
1735,11849073,FARMACIA MAGA SHOP MORENO,MORENO 745,QUILMES,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,Dom. 09:00hs a 21:00hs ,-34.7252455,-58.2560095
1805,11849085,FARMACIA DEL ESTE,LAVALLE 895,QUILMES,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 23:00hs ,Sáb. 08:00hs a 23:00hs ,Dom. 08:00hs a 23:00hs ,-34.72718133,-58.25330383
1979,90001068,C.S. CARREFOUR QUILMES,AV. LA PLATA 1400,QUILMES,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 20:00hs ,Sáb. 10:00hs a 20:00hs ,Dom. 10:00hs a 20:00hs ,-34.735259,-58.278111
2244,8749060,LA MOROCHA,MORENO 665,QUILMES,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.72403342,-58.25690767
2635,5319151,CARREFOUR EXPRESS (0454),MITRE 573,QUILMES,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.720311,-58.254851
2484,11849166,MAGA SOY DEL SUR,ALLISON BELL 873,QUILMES,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.722103,-58.245715
2523,5319159,CARREFOUR EXPRESS (0462),12 DE OCTUBRE 520,QUILMES,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.729641,-58.263655
3026,11849176,FARMACIA MAGA SHOP SANAR 10,COLON 147,QUILMES,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.719527,-58.260616
3484,11849196,FARMACIA SOY DEL SOL,RODOLFO LOPEZ 2180,QUILMES,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.731142,-58.285573
3502,5320017,SUPERMAYORISTA VITAL QUILMES,AV. CALCHAQUI 1000,QUILMES,Buenos Aires,0,0,1,0,Lun. a Vie. 07:00hs a 20:00hs ,Sáb. 07:00hs a 20:00hs ,,-34.737466,-58.295105
3317,11849190,FARMACIA MAGA NUEVA ERA QUILMES,ALVEAR 826,QUILMES,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,Sáb. 09:00hs a 14:00hs ,,-34.724689,-58.252895
3378,11949274,MAXIKIOSCO DEL PEPE,H. YRIGOYEN 729,QUILMES,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-31.942182,-65.201246
3786,11849209,SOY TU FARMACIA SOY DE QUILMES,HIPOLITO YRIGOYEN 185,QUILMES,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.716649,-58.265346
3792,11949366,MAXIKIOSCO FRIDA,ALEM 268,QUILMES,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 09:30hs a 13:00hs ,,-34.722156,-58.25553
4125,11849224,SOY TU FARMACIA SOY SANAR 52,AV. HIPOLITO YRIGOYEN 321,QUILMES,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.718972,-58.263619
4364,11959118,AGL KIOSCO ALEXIS,SARMIENTO 298,QUILMES,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.715051,-58.257359
4835,11949539,DUGSTORE VIDELA,VIDELA 111,QUILMES,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 10:00hs a 19:00hs ,,-34.721419,-58.260039
4584,8903001,P24 QUILMES,AV. HIPOLITO YRIGOYEN 646,QUILMES,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,,-34.724252,-58.259597
5179,90001219,C.S. QUILMES II,GARIBALDI 164,QUILMES,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-34.723906,-58.256956
4904,6349433,GREGO QUILMES,ALEM 130,QUILMES,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.723542,-58.258032
