IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
51,5449075,CASA GARCIA,AV. RIVADAVIA 13626,RAMOS MEJIA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 15:30hs a 20:00hs,Sáb. 08:30hs a 12:30hs y 16:00hs a 20:00hs,,-34.64051073,-58.55882747
263,9902036,CORREO RAMOS MEJIA,AV. RIVADAVIA 14178,RAMOS MEJIA,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.641596,-58.56624
977,5207098,AXION CEDRO AZUL (963),REPUBLICA 280,RAMOS MEJIA,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.63773968,-58.55218226
1006,11649033,CYBER EUREKA,BOLIVAR 51,RAMOS MEJIA,Buenos Aires,0,1,1,0,Lun. a Vie. 07:30hs a 13:30hs y 14:30hs a 22:00hs,Sáb. 07:30hs a 13:30hs y 14:30hs a 22:00hs,,-34.64170929,-58.56356678
1236,7049518,KIOSCO LG 1,AV. PTE PERON 2994,RAMOS MEJIA,Buenos Aires,0,1,1,0,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.67510959,-58.5583531
1552,7049879,MAXIKIOSCO EL DESQUITE,DIAZ VELEZ 327,RAMOS MEJIA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 17:00hs ,Sáb. 15:00hs a 19:00hs ,,-34.64319418,-58.54475167
1600,11649228,CYBER ES LO QUE HAY,RIVADAVIA 14086,RAMOS MEJIA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 14:00hs a 20:00hs,Sáb. 08:00hs a 13:00hs y 14:00hs a 20:00hs,,-34.64144283,-58.56481717
2142,8749044,NEW MULTISERVICIOS RAMOS MEJIA,BELGRANO 137,RAMOS MEJIA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 18:00hs ,,-34.64237188,-58.56545904
2534,5319170,CARREFOUR EXPRESS (0473),9 DE JULIO  46-50,RAMOS MEJIA,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.639179,-58.565283
2536,5319172,CARREFOUR EXPRESS (0475),AV. DE MAYO 1832,RAMOS MEJIA,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-34.659663,-58.562158
2906,12049543,EXTREMO,AV. DE MAYO 2612,RAMOS MEJIA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 14:00hs a 18:00hs,,,-34.668924,-58.560659
3144,12049661,MAXIKIOSCO ROSE,E. MITRE 415,RAMOS MEJIA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 19:00hs ,,-34.652363,-58.544103
3659,12349032,LG2,AV. GAONA 2912,RAMOS MEJIA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 19:00hs ,,-34.638392,-58.564238
4072,12449084,MI FAMILIA,AV. MAYO 1716,RAMOS MEJIA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.658262,-58.562261
3952,12449030,LO DE VERO,CAMACUA 1210,RAMOS MEJIA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs y 16:00hs a 20:00hs,,-34.652317,-58.573892
3972,8249079,ROSALES PAGO,ROSALES 226,RAMOS MEJIA,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,Sáb. 10:00hs a 18:00hs ,,-34.643661,-58.56557
4811,5949075,VIDEO CLUB STUDIO 4,PUEYRREDON 603,RAMOS MEJIA,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 13:00hs y 17:00hs a 21:00hs,,,-34.644813,-58.558749
5090,9149030,ATM RAMOS,AV DE MAYO 2307,RAMOS MEJIA,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 13:00hs y 15:00hs a 19:00hs,,,-34.609007,-58.38846
5816,10349155,IB CONSULTORA,MORENO 50 1 PISO,RAMOS MEJIA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.655991,-58.773155
5171,90001217,C.S. RAMOS MEJIA II,MARIANO MORENO 22,RAMOS MEJIA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-34.640675,-58.562867
5214,12449335,EL CAPU,ROSALES 345,RAMOS MEJIA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-34.643848,-58.567357
