IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
10,5149079,FARMACIA DE MARIA,AV. H. YRIGOYEN 2098,SAN FERNANDO,Buenos Aires,0,0,1,0,Lun. a Vie. 08:30hs a 20:00hs ,Sáb. 16:00hs a 19:30hs ,,-34.44795143,-58.56213633
296,9902072,CORREO SAN FERNANDO,CONSTITUCION 555,SAN FERNANDO,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.43828596,-58.56020239
1188,90003015,C. S. WAL*MART SAN FERNANDO,RUTA 202 Y URUGUAY - CNO BANCALARI,SAN FERNANDO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-34.484055,-58.595892
1995,90001075,C.S. CARREFOUR SAN FERNANDO,EX COMBATIENTE JUAN C. REGUERA 1150,SAN FERNANDO,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 15:00hs ,,-34.454335,-58.575103
2098,10349057,GESTORIA ANTONELLA,BRANDSEN 1187,SAN FERNANDO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 15:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-34.44473424,-58.55821927
2840,90001186,C. S. CARREFOUR SAN FERNANDO (MARKET),AV. PTE TTE GRAL  J. DOMINGO PERON 1350,SAN FERNANDO,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 15:00hs ,Dom. 09:00hs a 15:00hs ,-34.442074,-58.553859
4305,12449148,KIOSCO TOMI,SOBREMONTE 592,SAN FERNANDO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 14:00hs y 15:00hs a 20:00hs,,,-34.443323,-58.566455
4747,9749317,ALMACEN NICOSOLE,HIPOLITO IRIGOYEN 3096,SAN FERNANDO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,,,-34.451392,-58.571938
5806,8159546,AGL CENTRO SEGUROS SAN FERNANDO,HIPOLITO IRIGOYEN 3093,SAN FERNANDO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.451252,-58.571773
5506,12249175,TELECENTRO 9 DE JULIO,9 DE JULIO 1480,SAN FERNANDO,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.443003,-58.558496
