IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
180,5207033,AXION SANTA RITA (437),AV. ROLON 603,SAN ISIDRO,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.47675371,-58.52933541
367,9902150,CORREO SAN ISIDRO,ALSINA 102,SAN ISIDRO,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.473172,-58.51614
200,5207054,AXION SAN ISIDRO (414),AV. ROLON 29,SAN ISIDRO,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.48193617,-58.527329
934,11149032,ESTUDIO LUIS O. SANCHEZ,MARTIN Y OMAR 129 PISO 1 OF 110,SAN ISIDRO,Buenos Aires,0,0,1,0,Lun. a Vie. 08:30hs a 12:30hs y 13:30hs a 18:00hs,,,-34.47226057,-58.512138
997,5149674,FARMACIA ANON,AV. ANDRES ROLON 138,SAN ISIDRO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 17:30hs a 19:30hs,Sáb. 09:00hs a 13:00hs ,,-34.481147,-58.527779
1313,5149945,FARMACIA MFM,B. ENCALADA 88 LOC 4,SAN ISIDRO,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 12:00hs y 14:00hs a 18:00hs,Sáb. 10:00hs a 14:30hs ,,-34.49406294,-58.55156184
1704,6949311,LIBRERIA INTEGRAL,THAMES 197,SAN ISIDRO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:00hs ,,-34.50090173,-58.54408339
1893,10249585,AGENCIA EL REY DE LA SUERTE 1,DIEGO PALMA 1111,SAN ISIDRO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-34.47797167,-58.5292395
2177,8149245,PRONTO PAGOS SAN ISIDRO,ALSINA 11,SAN ISIDRO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:30hs ,,,-34.47233582,-58.51463114
3051,10249726,COLORADO EL 32,CENTENARIO 519,SAN ISIDRO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-34.470488,-58.516297
3111,8049313,PRONTO PAGOS SAN ISIDRO 2,LAPRIDA 2915,SAN ISIDRO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:30hs ,,,-34.490096,-58.548177
3439,11149054,ESTUDIO SANCHEZ Y ASOC,MAIPU 139,SAN ISIDRO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.468753,-58.514973
4124,8649079,PANADERIA LA NUEVA ESTRELLA,ALSINA 529,SAN ISIDRO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 15:00hs a 18:00hs,,,-34.475345,-58.522217
5314,11849259,FARMACIA SOCIAL SAN ISIDRO,COSME BECCAR 452,SAN ISIDRO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.470446,-58.514821
