IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
117,90003003,C. S. WAL MART SAN JUSTO,AV. BRIG GRAL JUAN MANUEL DE ROSAS 3990,SAN JUSTO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-34.685565,-58.557454
264,9902037,CORREO SAN JUSTO (BA),ALMAFUERTE 3171,SAN JUSTO,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.67873686,-58.55872543
1983,10249606,AGENCIA DON TILO,PEDRO LEON GALLO 3528,SAN JUSTO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:30hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 17:00hs ,,-34.69530339,-58.57179145
2070,90001121,C.S. CARREFOUR SAN JUSTO,AV. DON BOSCO 3749,SAN JUSTO,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,,-34.666519,-58.5998
2312,12249065,LOCUTORIO ENTRE RIOS,PERU 2296,SAN JUSTO,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 14:00hs y 15:00hs a 19:00hs,Sáb. 09:00hs a 14:00hs y 15:00hs a 19:00hs,,-34.67825194,-58.557505
2170,12249038,LOCUTORIO PARAGUAY,PARAGUAY 2523,SAN JUSTO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 14:00hs y 15:00hs a 18:00hs,Sáb. 08:30hs a 13:00hs ,,-34.68213714,-58.55378589
2175,12249043,LOCUTORIO JURAMENTO,EIZAGUIRRE 2496,SAN JUSTO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 14:00hs y 15:00hs a 18:00hs,Sáb. 08:30hs a 13:00hs ,,-34.68216145,-58.55564651
2184,12249045,LOCUTORIO ALMAFUERTE,ALMAFUERTE 3293,SAN JUSTO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 14:00hs y 15:00hs a 18:00hs,Sáb. 08:30hs a 13:00hs ,,-34.679349,-58.55795
2188,12249050,LOCUTORIO HIPOLITO IRIGOYEN,H. YRIGOYEN 2336,SAN JUSTO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 14:00hs y 15:00hs a 18:00hs,Sáb. 08:30hs a 13:30hs ,,-34.67773255,-58.55893114
2669,5319193,CARREFOUR EXPRESS (0522),ARIETA 2850,SAN JUSTO,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.676349,-58.56362
2920,12249102,LOCUTORIO UNIVERSITARIO,FLORENCIO VARELA 2072,SAN JUSTO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:30hs a 14:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-34.671245,-58.56314
3141,12049658,LA FAMILIA,ILLIA 2859,SAN JUSTO,Buenos Aires,0,1,1,0,Lun. a Vie. 07:00hs a 16:00hs ,Sáb. 07:00hs a 16:00hs ,,-34.67829,-58.566913
3243,7059026,AGL MILU,AV. ILLIA 3615,SAN JUSTO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 23:00hs ,Sáb. 09:00hs a 23:00hs ,,-34.682716,-58.57214
3077,12249115,LOCUTORIO PELUSA,H. YRIGOYEN 2474,SAN JUSTO,Buenos Aires,0,1,1,0,Lun. a Vie. 07:00hs a 21:00hs ,Sáb. 07:00hs a 21:00hs ,,-34.67824,-58.560667
3425,12049818,LA ARRANCA PARAGOLPES IV,ARIETA 4087,SAN JUSTO,Buenos Aires,1,1,1,0,Lun. a Vie. 00:00hs a 23:55hs ,Sáb. 00:00hs a 23:55hs ,,-34.686475,-58.550071
3440,6149322,ANALIA,PASTEUR 4289,SAN JUSTO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:30hs a 18:30hs,,,-34.691761,-58.554188
3594,12349030,LOCUTORIO SAN MARIA,HIPOLITO YRIGOYEN 2732,SAN JUSTO,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.679944,-58.562541
3312,5320012,SUPERMAYORISTA VITAL SAN JUSTO,MONSENOR R. BUFANO 2900,SAN JUSTO,Buenos Aires,0,0,1,0,Lun. a Vie. 07:00hs a 18:00hs ,Sáb. 07:00hs a 18:00hs ,,-34.682841,-58.569878
3863,90001193,C.S.SHOPPING SAN JUSTO,BRIGADIER GRAL.JUAN MANUEL DE ROSAS 3910,SAN JUSTO,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,,-34.684898,-58.55764799
3631,12049949,MAFALDA,ARIETA 2197,SAN JUSTO,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 14:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 14:00hs y 16:00hs a 20:00hs,,-34.670841,-58.570802
3701,7949053,BELLA DOLCE,BRANDSEN 3779,SAN JUSTO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-34.624814,-58.55435
