IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
181,5207034,AXION 3 DE FEBRERO (922),AV. PTE PERON 3808,SAN MARTIN,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.572814,-58.544062
182,5207035,AXION 25 DE MAYO (911),25 DE MAYO Y PEDRIEL,SAN MARTIN,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.578499,-58.528759
30,5149493,FARMACIA GOLDIN,NECOCHEA 2068,SAN MARTIN,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 15:30hs a 19:00hs,Sáb. 08:30hs a 13:00hs ,,-34.585205,-58.547632
368,9902151,CORREO SAN MARTIN (BA),INT. A. M. CAMPOS 1951,SAN MARTIN,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.57807498,-58.53562592
1002,5149682,FARMACIA SUBI SAN MARTIN,PEDRIEL 5001,SAN MARTIN,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-34.589668,-58.542176
1982,10249605,AGENCIA LA FORTUNA,ESTRADA 2776,SAN MARTIN,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:30hs y 15:30hs a 18:00hs,,,-34.5729308,-58.52735563
2031,90001093,C.S. CARREFOUR MALAVER,AMERICA 4006,SAN MARTIN,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,,-34.549183,-58.55882
2056,90001122,C.S. CARREFOUR SAN MARTIN,AV. SAN MARTIN 420,SAN MARTIN,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 16:00hs ,,-34.589704,-58.51888071
1921,12049156,MAXIKIOSCO MASCARITA,MITRE 3999,SAN MARTIN,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 09:00hs a 15:00hs ,,-34.578726,-58.539582
2613,5319129,CARREFOUR EXPRESS (0430),CARRILLO 2170,SAN MARTIN,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 22:00hs ,-34.574721,-58.53999
2872,90001189,C.S. SAN MARTIN II,INTENDENTE CAMPOS 1831,SAN MARTIN,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 18:30hs ,Sáb. 09:00hs a 12:30hs ,,-34.578789,-58.534983
3020,5319358,CARREFOUR EXPRESS (669),YAPEYU 2059,SAN MARTIN,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,,-34.575491,-58.535838
3060,11949211,DULCES TIEMPOS,MITRE 3865,SAN MARTIN,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.577621,-58.539442
3693,12049971,MAXIKIOSCO LA IGUANA,LA CRUJIA 3267,SAN MARTIN,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,,,-34.566578,-58.543057
3946,8121001,CREDIFACIL SAN MARTIN,SARMIENTO 1958,SAN MARTIN,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-34.575676,-58.534164
4266,12449141,MAXIKIOSCO VALENTIN,RODRIGUEZ PENA 4495,SAN MARTIN,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:30hs y 14:30hs a 20:30hs,Sáb. 09:00hs a 13:30hs ,,-34.591161,-58.53226
4803,11849257,FARMACIA CASAKIN,H YRIGOYEN 5200,SAN MARTIN,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 15:30hs a 19:30hs,,,-34.591626,-58.543217
4634,12449241,PF ESTACION SAN MARTIN,FRANCISCO GONZALEZ 1964,SAN MARTIN,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 15:00hs ,,-34.573089,-58.532929
5030,12449302,MAX-KIOSCO,SAN LORENZO 2239,SAN MARTIN,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 15:00hs ,Sáb. 10:00hs a 15:00hs ,,-34.575869,-58.540111
5773,8159526,AGL PF ESTRADA,ESTRADA 2944,SAN MARTIN,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.573416,-58.529468
5786,9749353,ISA BELLA,MARIA ASUNTA 3400,SAN MARTIN,Buenos Aires,1,1,1,0,Lun. a Vie. 07:00hs a 20:00hs ,Sáb. 07:00hs a 20:00hs ,,-34.584103,-58.52444
5333,12449343,PF ALVEAR,ALVEAR 2302,SAN MARTIN,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,,,-34.54682,-58.550569
5531,8149500,SEGUROS FIORE,AV BALBIN 1651,SAN MARTIN,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.584182,-58.53785
