IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
58,6149083,AUTOSERVICIO LOS 3 AMIGOS,WILLIAN MORRIS 3398,SAN MIGUEL,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:30hs a 20:30hs,Sáb. 08:00hs a 13:00hs y 16:30hs a 20:30hs,Dom. 08:00hs a 13:00hs y 16:30hs a 20:30hs,-34.54473161,-58.74134929
345,9902124,CORREO SAN MIGUEL (BA),BELGRANO 1398,SAN MIGUEL,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.54468802,-58.71190204
899,8849326,LOCUTORIO MITRE,AV. MITRE 4752,SAN MIGUEL,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 14:00hs y 15:00hs a 20:00hs,Sáb. 09:00hs a 14:00hs y 15:00hs a 20:00hs,Dom. 09:00hs a 13:00hs ,-34.56951098,-58.74225008
937,8949163,TELECENTRO GAMA,LAS HERAS 1171,SAN MIGUEL,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:30hs ,Sáb. 09:00hs a 18:00hs ,,-34.547465,-58.70426871
976,5207097,AXION SAN MIGUEL (962),AV. GASPAR CAMPOS 3188,SAN MIGUEL,Buenos Aires,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.55181055,-58.72089747
1997,90001077,C.S. CARREFOUR SAN MIGUEL (BELLA VISTA),PTE. PERON 111,SAN MIGUEL,Buenos Aires,1,1,1,0,Lun. a Vie. 19:00hs a 19:00hs ,Sáb. 10:00hs a 19:00hs ,Dom. 09:00hs a 15:00hs ,-34.55282,-58.697664
2016,90001081,C.S. CARREFOUR SAN MIGUEL,AV. ARTURO ILLIA 3770,SAN MIGUEL,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,Dom. 10:00hs a 14:00hs ,-34.532161,-58.701751
2259,12049338,MAXIKIOSCO BACHICHA,CONCEJAL TRIBULATO 1205,SAN MIGUEL,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 14:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 14:00hs ,,-34.54168449,-58.71290453
2265,12049341,MAXIKIOSCO NAHUEL,IRIGOIN 4681,SAN MIGUEL,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 13:00hs y 16:00hs a 20:00hs,,-34.56381953,-58.74883624
2530,5319166,CARREFOUR EXPRESS (0469),FRAGA 1629,SAN MIGUEL,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.544189,-58.714734
3156,10249754,9 REINAS III,PARDO 5726,SAN MIGUEL,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-34.588491,-58.733784
3235,11849185,FARMACIA GONZALEZ,INT. IRIGOIN 2896,SAN MIGUEL,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 20:30hs ,Sáb. 08:30hs a 20:30hs ,,-34.54861,-58.733724
3736,8149321,CREDIBEL SARMIENTO,SARMIENTO 1603,SAN MIGUEL,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.567128,-58.738636
3737,8149322,CREDIBEL PERON,AV.DOMINGO PERON 1645,SAN MIGUEL,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.541923,-58.712722
4147,8121002,CREDIFACIL SAN MIGUEL,PTE. PERON 1667,SAN MIGUEL,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-34.541623,-58.713089
3910,8149331,PAKTAR SRL SAN MIGUEL,PERON 1280,SAN MIGUEL,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 17:30hs ,,,-34.544727,-58.708355
4359,10249943,AGENCIA RODO SAN MIGUEL,ITALIA 895,SAN MIGUEL,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.542198,-58.706209
4644,6649036,MAXIKIOSCO EL 06,MIGUEL CANE 4640,SAN MIGUEL,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 21:00hs,Sáb. 08:00hs a 13:00hs y 16:00hs a 21:00hs,,-34.553402,-58.762217
6758,,NSA AR SAN MIGUEL AVIPAZ,AV. BME MITRE  1603,SAN MIGUEL,Buenos Aires,1,0,0,0,Lun. a Vie. 1000 A 1300 1600 A 2100,Sáb. 1000 A 1300 1600 A 2100,Dom. 1000 A 1300,-34.545314,-58.714162
6759,,NSA AR SAN MIGUEL EZEMAUDA,AV. BARTOLOME MITRE  57,SAN MIGUEL,Buenos Aires,1,0,0,0,Lun. a Vie. 0830 A 2100,Sáb. 0830 A 2100,Dom. 1000 A 2100,-34.533459,-58.701327
