IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
65,6449027,MUTUAL SIDERURGICA GRAL. SAVIO,DE LA NACION 261,SAN NICOLAS DE LOS ARROYO,Buenos Aires,0,0,1,0,Lun. a Vie. 08:15hs a 12:00hs y 16:00hs a 19:45hs,,,-33.33244242,-60.21893917
466,9902262,CORREO SAN NICOLAS - C,DE LA NACION 175,SAN NICOLAS DE LOS ARROYO,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-33.330671,-60.21718
690,9902506,CORREO SAN NICOLAS SUC. 1,AV. GRAL. SAVIO 1090,SAN NICOLAS DE LOS ARROYO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-33.353238,-60.19833469
1083,8849535,TELECABINAS,PTE. PERON 1344,SAN NICOLAS DE LOS ARROYO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 08:00hs a 21:00hs ,Dom. 09:00hs a 13:00hs y 18:00hs a 20:00hs,-33.35288568,-60.24131121
1104,6949187,LIBRERIA GRAFFT,MITRE 243,SAN NICOLAS DE LOS ARROYO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:00hs a 19:30hs,Sáb. 09:00hs a 12:30hs ,,-33.33121775,-60.21978525
941,8049041,ZEROXSIENTO MENSAJERIA,ALMAFUERTE 298,SAN NICOLAS DE LOS ARROYO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:30hs a 19:00hs,,,-33.33705308,-60.21165517
2114,90001132,C.S. CARREFOUR SAN NICOLAS,MITRE 264,SAN NICOLAS DE LOS ARROYO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,,-33.3316925,-60.220117
3162,10249756,AGENCIA LA REVANCHA,AV. MALVINAS ARGENTINAS 2083,SAN NICOLAS DE LOS ARROYO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 13:30hs y 16:30hs a 20:30hs,,,-33.380379,-60.17712
3489,9749250,POLIRUBRO SUPER 24,SAVIO 649,SAN NICOLAS DE LOS ARROYO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 17:00hs ,Sáb. 09:00hs a 13:00hs ,,-33.347727,-60.206018
3554,8049343,AM CADETERIA,DON BOSCO 331,SAN NICOLAS DE LOS ARROYO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 20:00hs ,,,-33.347198,-60.204213
4394,8121007,CREDIFACIL SAN NICOLAS,DE LA NACION 208,SAN NICOLAS DE LOS ARROYO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-33.33141,-60.21764
4765,12449265,MAXIKIOSCO A PASO,SAVIO 721,SAN NICOLAS DE LOS ARROYO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-33.348073,-60.205668
4827,6249095,PERFUMERIA LOS JAZMINES,PRESIDENTE PERON 1121,SAN NICOLAS DE LOS ARROYO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,,,-33.350405,-60.236382
5828,8159563,AGL SEGUROS BIANCO SERVIDIA,MORENO 211,SAN NICOLAS DE LOS ARROYO,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 16:00hs ,,,-33.33268,-60.227319
6001,8149615,ORGANIZACION DOTI,ALBERDI 214,SAN NICOLAS DE LOS ARROYO,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 19:00hs,,,-33.327549,-60.223551
