IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
329,9902108,CORREO TABLADA,AV. INT. ESTEBAN J. S. CROVARA 3035,TABLADA,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.691534,-58.526743
1218,90003019,C. S. WAL MART TABLADA,CAMINO DE CINTURA Y CROVARA,TABLADA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-34.699948,-58.541348
1915,7549851,EL RETORNO,LARREA 5089,TABLADA,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.67836741,-58.51127473
2540,5319176,CARREFOUR EXPRESS (0480),AV. CROVARA 875,TABLADA,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.696793,-58.535978
2447,11949124,POLIALE,OLLEROS 103,TABLADA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 15:00hs a 19:00hs,Sáb. 09:00hs a 12:30hs ,,-34.673965,-58.53006
3633,8049347,BULL NET CROVARA,CROVARA 1040,TABLADA,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.553151,-58.45254
4517,10949033,SAN JORGE PET,CHARLONE 65,TABLADA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 13:30hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 13:30hs y 16:30hs a 20:30hs,,-34.682745,-58.516827
4327,12349050,DASOANTECH,AV. CROVARA 574,TABLADA,Buenos Aires,1,1,1,0,Lun. a Vie. 07:00hs a 21:00hs ,Sáb. 07:00hs a 21:00hs ,Dom. 07:00hs a 21:00hs ,-34.677568,-58.507569
5440,12449347,VENEZIA,NECOCHEA 4265,TABLADA,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 21:00hs,,,-34.679674,-58.530923
5472,90001226,C.S. LA TABLADA,VELEZ SARFIELD 14,TABLADA,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-34.697813,-58.506587
