IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
475,9902271,CORREO TANDIL,GRAL.PINTO 623,TANDIL,Buenos Aires,1,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-37.32777914,-59.13485684
1397,7549453,POLIRUBRO HECATOMBE,SARMIENTO 517,TANDIL,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,,-37.32592994,-59.13769822
2057,90001102,C.S. CARREFOUR TANDIL,PANAMA 351,TANDIL,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,,-37.32458437,-59.11377102
2081,11949084,MAXIKIOSCO LUGAR SONADO,AV.ESPANA 680,TANDIL,Buenos Aires,1,1,1,0,Lun. a Vie. 08:30hs a 18:30hs ,Sáb. 09:00hs a 13:00hs ,,-37.32268124,-59.136822
3460,12049841,TANDIL COBROS,RIVADAVIA 495,TANDIL,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 21:00hs,,,-37.330828,-59.144209
3461,11649329,DANIEL SCIARROTTA PAGOS,BELGRANO 703,TANDIL,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 18:00hs,,,-37.328323,-59.133613
3738,6949499,LIBRERIA MUNAY,BARTOLOME MITRE 322,TANDIL,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 16:00hs ,,,-37.325446,-59.142351
4557,90049081,SERCOB ALEM,LEANDRO N ALEM 599,TANDIL,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,,,-37.325249,-59.133784
4558,8749186,SERCOB BRASIL,BRASIL 184 LOC 3,TANDIL,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,,,-37.328802,-59.113055
4559,90049082,SERCOB ESPANA,AV. ESPANA 302,TANDIL,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,,,-37.324173,-59.142827
4560,90049083,SERCOB QUINTANA,CHACABUCO 479,TANDIL,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 14:00hs ,,,-37.328865,-59.138419
4561,90049084,SERCOB FALUCHO,AV. FALUCHO 685,TANDIL,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,,,-37.325784,-59.112923
4562,90049085,SERCOB PERON,AV. PERON 1098,TANDIL,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,,,-37.323646,-59.148675
4563,90049086,SERCOB SANTAMARINA,SANTAMARINA 479,TANDIL,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 14:00hs ,,,-37.325525,-59.129717
4565,90049089,SERCOB FIGUEROA,FIGUEROA 992,TANDIL,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 08:00hs a 21:00hs ,,-37.30757,-59.15182
4567,90049090,SERCOB IRIGOYEN,HIPOLITO YRIGOYEN 496,TANDIL,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 08:00hs a 21:00hs ,,-37.328034,-59.137345
5067,8749221,SERCOB ALEM ADM,LEANDRO N ALEM 593,TANDIL,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,,,-37.325366,-59.133617
5361,8149475,SERCOB ALESSI SANCOR,SAN MARTIN 954,TANDIL,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 16:00hs ,,,-37.324326,-59.13161
5364,8149477,SERCOB DURINGER QBE,BOLIVAR 204,TANDIL,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 16:00hs ,,,-37.333815,-59.124765
5365,11949606,SERCOB LUNGHI,LA PASTORA 712,TANDIL,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-37.302123,-59.163569
6071,90049139,SERCOB MGB COBRANZAS,PELLEGRINI 893,TANDIL,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 14:00hs ,,,-37.316511,-59.137423
6075,8149639,SERCOB BATELLI,RODRIGUEZ 1375,TANDIL,Buenos Aires,0,0,1,0,Lun. a Vie. 08:30hs a 12:30hs y 17:00hs a 19:30hs,,,-37.317334,-59.141928
5527,8149489,RESPALDO TANDIL,AV. MARCONI 1042,TANDIL,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 15:00hs ,,,-37.32011,-59.132233
