IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
139,5149570,FARMACIA RAPETTI,GARIBALDI 1498,TEMPERLEY,Buenos Aires,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 15:30hs a 20:20hs,Sáb. 08:30hs a 13:50hs ,,-34.7793205,-58.41865242
265,9902038,CORREO TEMPERLEY,AV. ALTE BROWN 3394,TEMPERLEY,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.77719275,-58.391154
316,9902094,CORREO BARRIO SAN JOSE,LA CALANDRIA 3156,TEMPERLEY,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.762579,-58.359733
889,8849318,LOCUTORIO GABRIEL,SALTA 317,TEMPERLEY,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 08:00hs a 21:00hs ,,-34.764974,-58.358764
1636,7049938,MAXIKIOSCO IV-EL,SANTA CRUZ 192,TEMPERLEY,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 08:00hs a 19:00hs ,,-34.763087,-58.352513
1637,6049044,SPORT GAME I,SAN CRISTOBAL 1427-41,TEMPERLEY,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 16:00hs a 18:30hs,Sáb. 09:00hs a 12:00hs ,,-34.75830737,-58.34711665
2001,8149222,BOSTONCRED SAN JOSE,SALTA 601,TEMPERLEY,Buenos Aires,1,1,1,0,Lun. a Vie. 09:30hs a 19:00hs ,,,-34.766912,-58.357196
2364,90001184,C.S. CARREFOUR TEMPERLEY,AV. EVA PERON 2679,TEMPERLEY,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,Dom. 10:00hs a 14:00hs ,-34.762793,-58.364161
3386,8149299,BOSTON CRED TEMPERLEY,H. YRIGOYEN 10699,TEMPERLEY,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 19:30hs ,Sáb. 09:00hs a 13:00hs ,,-34.781784,-58.406813
4664,8749194,LAS SANDRAS,DONATO ALVAREZ 1225 EX 47,TEMPERLEY,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 08:00hs a 19:00hs ,,-34.751027,-58.339198
4994,8149390,GM SEGUROS TEMPERLEY,ALMIRANTE BROWN 4190,TEMPERLEY,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.785353,-58.389244
