IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
298,9902074,CORREO TIGRE,AV. CAZON 1140,TIGRE,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.42694897,-58.57516648
1189,5249031,EL PASO DEL TIGRE,DR.LUIS GARCIA 1268,TIGRE,Buenos Aires,0,1,1,0,Lun. a Vie. 15:00hs a 20:00hs ,Sáb. 15:00hs a 20:00hs ,Dom. 15:00hs a 20:00hs ,-34.43211945,-58.58394261
1305,90003026,CHANGO MAS TIGRE (WAL MART),RUTA 197 NRO 2621,TIGRE,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-34.44746261,-58.588914
2044,90001095,C.S. CARREFOUR TIGRE,ALTE. BROWN 371,TIGRE,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 15:00hs ,Dom. 09:00hs a 15:00hs ,-34.45827259,-58.6121529
2397,8149259,TIGRE PAGOS 1,BORDIEU 483,TIGRE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.423593,-58.579335
2621,5319137,CARREFOUR EXPRESS (0440),AV. CAZON 1336,TIGRE,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.424967,-58.577794
3506,5349361,MARQUET,DEL PORTAL 155 ED AMOARES NORDELTA,TIGRE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,Dom. 09:00hs a 21:00hs ,-34.425087,-58.579658
3676,12049963,KIOSCO JORGE 2,CARLOS GARDEL 132,TIGRE,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 14:00hs y 17:00hs a 21:00hs,,,-34.43522,-58.595991
4736,12449258,MAXIKIOSCO SEPTIEMBRE,GUARESCHI 22,TIGRE,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 20:00hs ,Sáb. 10:00hs a 20:00hs ,,-42.905821,-71.313181
4741,11249021,ANDERSEN 1,J B JUSTO 3483,TIGRE,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 17:00hs ,Sáb. 08:00hs a 13:00hs ,,-34.445966,-58.584581
4764,7149037,BUEN PUERTO,CAZON 811,TIGRE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 18:00hs ,,-34.428851,-58.572632
6011,12649038,AGENCIA TIGRE,LARRALDE 2118,TIGRE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.44165,-58.585248
