IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
266,9902039,CORREO TORTUGUITAS,AV. TTE GRAL JUAN DOMINGO PERON 22,TORTUGUITAS,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.471042,-58.760445
1892,10249584,AGENCIA EL REY DE LA SUERTE 6,PROVINCIA DE BS AS 1354,TORTUGUITAS,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-34.48194265,-58.77515797
3588,10249827,AGENCIA TOTUGUITAS,JOSE HERNANDEZ 3066,TORTUGUITAS,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 18:00hs ,,-34.483286,-58.751266
4246,8749178,AGENCIA TORTUGAS,MISIONES 55,TORTUGUITAS,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.468851,-58.756628
4848,8749211,CENTRO DE SERVICIOS TORTUGUITAS,CONSTITUYENTES 2096,TORTUGUITAS,Buenos Aires,0,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.454626,-58.733698
4555,12449220,KIOSCO LA CUEVA DEL OSO,FRANCISCO SEGUI 4099,TORTUGUITAS,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.470717,-58.758799
4556,12449221,KIOSCO LA CUEVA DEL OSO 2,FRANCISCO SEGUI 4049,TORTUGUITAS,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.470721,-58.758842
6761,,NSA AR TOTUGUITAS FUGEES09,LUIS MARIA DRAGO  1884,TORTUGUITAS,Buenos Aires,1,0,0,0,Lun. a Vie. 0830 A 1930,Sáb. 0830 A 1430,,-34.413725,-58.877045
5262,8159326,AGL DOMINGUEZ SEGUROS,LUIS MARIA DRAGO 717,TORTUGUITAS,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.467829,-58.753818
5294,8159324,AGL ORGANIZACION AJR TORTUGUITAS,CONSTITUYENTES 2096,TORTUGUITAS,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.454613,-58.733572
