IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
267,9902040,CORREO VILLA ADELINA,PARANA 6001,VILLA ADELINA,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.521649,-58.542748
2321,10249646,AGENCIA EL PICKY VILLA ADELINA,AV. ADER 990,VILLA ADELINA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 17:00hs ,,-34.52154267,-58.55717244
2617,5319133,CARREFOUR EXPRESS (0436),PARANA  6543,VILLA ADELINA,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.525862,-58.548701
3820,11649334,ALMARCIBER,AV. DE MAYO 917,VILLA ADELINA,Buenos Aires,1,1,1,0,Lun. a Vie. 11:00hs a 18:00hs ,,,-34.516334,-58.54289
4307,12449151,MAXIKIOSCO CHIQUI,PERITO MORENO 2100,VILLA ADELINA,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 15:00hs a 19:00hs,Sáb. 09:00hs a 12:30hs ,,-34.515778,-58.553526
4632,12449240,EL GENOVES,PARANA 5914,VILLA ADELINA,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 14:00hs a 19:00hs,,,-34.521349,-58.543473
5760,8149558,AGL RIZZO Y ASOC VILLA ADELINA,AV DE MAYO 888,VILLA ADELINA,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.516255,-58.542576
5823,8159539,AGL BLANCO GROUP,PARANA 7007,VILLA ADELINA,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.529106,-58.552617
5946,8149594,ATM VILLA ADELINA,AV. DE MAYO 262,VILLA ADELINA,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.511299,-58.540485
5995,8159605,AGL SEGUROS GFCS GRECO,AV DE MAYO 887,VILLA ADELINA,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.515997,-58.542919
