IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
2,5101087,FARMACIA MAGA SHOP BELGRANO,AV.  MANUEL BELGRANO 4600,VILLA DOMINICO,Buenos Aires,0,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,Sáb. 08:00hs a 13:00hs ,,-34.694326,-58.33448
3,5101088,FARMACIA MAGA SHOP DOMINICO,AV. MITRE 4701,VILLA DOMINICO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 15:00hs y 16:30hs a 20:00hs,Sáb. 09:00hs a 15:00hs y 16:30hs a 20:00hs,Dom. 09:00hs a 15:00hs y 16:30hs a 20:00hs,-34.693313,-58.331544
372,9902157,CORREO VILLA DOMINICO,PTE BARTOLOME MITRE 3317,VILLA DOMINICO,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.683819,-58.342526
1031,5149724,FARMACIA MAGA SHOP SANAR TRES,AV. CENTENARIO URUGUAYO 1209,VILLA DOMINICO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 08:00hs a 19:00hs ,,-34.70514557,-58.34191114
1800,6249063,PERFUMERIA EMANUEL,BOULEVARD DE LOS ITALIANOS 1605,VILLA DOMINICO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 17:00hs a 19:00hs,,,-34.71182676,-58.3429488
2087,12049222,KIOSCO ILDA,CHIVILCOY 702,VILLA DOMINICO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.686496,-58.324582
3526,12049874,MAXIKIOSCO CAMILA,CAMINO GRAL. BELGRANO 4676,VILLA DOMINICO,Buenos Aires,1,1,1,0,Lun. a Vie. 14:00hs a 20:00hs ,,,-34.720884,-58.340532
4615,6949548,LIBRERIA GASPAR II,SAN LORENZO 304,VILLA DOMINICO,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.691151,-58.340849
5392,6959386,AGL NUEVO DOMINICO,SAN VICENTE 734,VILLA DOMINICO,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 13:30hs y 16:30hs a 18:00hs,,,-34.689598,-58.320034
5652,8149535,GRUPO FERNANDEZ,CENTENARIO URUGUAYO 1509,VILLA DOMINICO,Buenos Aires,1,1,1,0,Lun. a Vie. 10:00hs a 20:00hs ,,,-34.707225,-58.345667
