IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
2431,11949112,POLIRUBRO SEBA 1,GUIDO SPANO 2815,VIRREYES,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 19:00hs,Sáb. 09:00hs a 12:00hs ,,-34.473983,-58.587987
3480,8749128,CENTRO DE SERVICIOS VIRREYES,AVELLANEDA 1431,VIRREYES,Buenos Aires,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.449436,-58.550904
3751,10249849,AGENCIA LA SUERTUDA,AVELLANEDA 3170,VIRREYES,Buenos Aires,0,1,1,0,Lun. a Vie. 07:00hs a 20:30hs ,Sáb. 07:00hs a 20:30hs ,,-34.457844,-58.566463
4148,8121003,CREDIFACIL SAN FERNANDO,CONSTITUCION 191,VIRREYES,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-34.435554,-58.563797
4157,12449108,KIOSCO VIVIANA,JUAN B. JUSTO 1723,VIRREYES,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 12:00hs ,,-34.468506,-58.544571
4658,10249977,AGENCIA REY VIRREYES,AVELLANEDA 2057,VIRREYES,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:00hs ,,-34.452403,-58.555902
4660,10249980,AGENCIA AVELLANEDA,AVELLANEDA 5893,VIRREYES,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.471983,-58.596837
4791,10249991,AGENCIA AVELLANEDA 2,AVELLANEDA 2945,VIRREYES,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.45641,-58.564063
5944,8149593,ATM VIRREYES,AVELLANEDA 2744,VIRREYES,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.455753,-58.561915
5987,8159602,AGL L.A SEGUROS GENERALES,AVELLANEDA 4558,VIRREYES,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.465257,-58.581854
5429,8159404,AGL CENTRO SEGUROS VIRREYES,AVELLANEDA 2098,VIRREYES,Buenos Aires,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.452704,-58.55606
