IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
22,5149393,FARMACIA MAGA SHOP ARGENTINA,ONSARI 199,WILDE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.706517,-58.319242
26,5149452,FARMACIA MAGA SHOP SOL - WILDE,RAMON FRANCO 5919,WILDE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 14:00hs ,,-34.69695575,-58.31515375
72,6949130,LIBRERIA CORVALAN,CORVALAN 47,WILDE,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 13:30hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-34.70081571,-58.32294267
314,9902092,CORREO WILDE,BRAGADO 6185,WILDE,Buenos Aires,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.701607,-58.313863
1032,5149713,FARMACIA MAGA SHOP DE LAS FLORES,LAS FLORES 501,WILDE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 18:00hs ,,-34.699969,-58.311443
1447,5449361,ARTICULOS PARA EL HOGAR MONTALBANO I,AV. MITRE 6289,WILDE,Buenos Aires,0,0,1,0,Lun. a Vie. 09:30hs a 12:30hs y 15:30hs a 18:30hs,,,-34.70450833,-58.31714945
1548,11849023,FARMACIA MAGA SHOP SANAR 11,LAS FLORES 884,WILDE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 08:00hs a 21:00hs ,,-34.69660749,-58.30764929
2527,5319162,CARREFOUR EXPRESS (0465),AV. MITRE 6328,WILDE,Buenos Aires,0,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-34.704136,-58.316962
3222,11949236,POLIRUBRO ANTOJOS,BOULEVARD DE LOS ITALIANOS 210,WILDE,Buenos Aires,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-34.699107,-58.328561
3044,11949206,POLIRUBRO ORACULO,ONZARI 9,WILDE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.704277,-58.317612
5893,8149585,ATM WILDE,MARIANO MORENO 6290,WILDE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.716679,-58.262683
5922,8159587,AGL SEGUROS TEMPLE,FABIAN ONSARI 1009,WILDE,Buenos Aires,0,0,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.713216,-58.328309
6098,8749312,CENTRO SERVICIOS LAS FLORES,LAS FLORES 1600 LOCAL 109,WILDE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 15:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-34.690761,-58.30284
6099,8749280,CENTRO SERVICIOS LAS FLORES II,LAS FLORES 1459,WILDE,Buenos Aires,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,,,-34.691913,-58.303845
