IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
115,90001029,C.S. ALMAGRO,GASCON 425,ALMAGRO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-34.60680333,-58.42452684
159,5207007,AXION ALBERDI (446),AV. LA PLATA 575,ALMAGRO,Capital Federal,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.621516,-58.427848
228,9902001,CORREO ALMAGRO,MEDRANO 66,ALMAGRO,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.61038005,-58.42100689
269,9902042,CORREO ABASTO,AV. CORRIENTES 3702,ALMAGRO,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.603467,-58.416532
1158,5149824,FARMACIA BULNES,AV. CORRIENTES 3687,ALMAGRO,Capital Federal,0,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,Sáb. 10:00hs a 13:00hs ,,-34.60341361,-58.4163002
1708,9749087,LOS SOLCITOS,PTE. PERON 3391,ALMAGRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 14:00hs ,Sáb. 08:00hs a 14:00hs ,,-34.607178,-58.414544
2299,7549894,MAXIKIOSCO ESPERANZA,AV. BELGRANO 3437,ALMAGRO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,,,-34.61548518,-58.41478792
2586,5319104,CARREFOUR EXPRESS (0404),MEDRANO 686,ALMAGRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.602099,-58.420843
2595,5319112,CARREFOUR EXPRESS (0413),VENEZUELA 4086,ALMAGRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.617811,-58.42243
2603,5319120,CARREFOUR EXPRESS (0421),AV. BELGRANO 3447,ALMAGRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.615564,-58.415041
2485,5319001,CARREFOUR EXPRESS (0196),AV. CORRIENTES 3651,ALMAGRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.603683,-58.416238
2496,5319244,CARREFOUR EXPRESS (0573),AV. CORDOBA 3721,ALMAGRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.597771,-58.419191
2503,5319251,CARREFOUR EXPRESS (0580),AV. CORRIENTES 4147,ALMAGRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.602931,-58.423277
2516,5319261,CARREFOUR EXPRESS (0591),J. D. PERON 4177,ALMAGRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.605946,-58.425721
2984,5319338,CARREFOUR EXPRESS (691),AV. LA PLATA 716,ALMAGRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.623831,-58.427439
2987,5319341,CARREFOUR EXPRESS (731),SARMIENTO 4551,ALMAGRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.604057,-58.429624
2703,5319221,CARREFOUR EXPRESS (0550),SARMIENTO 3885,ALMAGRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.605107,-58.419526
