IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
98,10249066,AGENCIA MATHEU,MATHEU 367,BALVANERA,Capital Federal,0,1,1,0,Lun. a Vie. 09:30hs a 20:00hs ,Sáb. 09:30hs a 18:30hs ,,-34.6139362,-58.40004876
133,5149562,FARMACIA KM O,AV. RIVADAVIA 2000,BALVANERA,Capital Federal,0,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 15:00hs a 18:30hs,,,-34.609421,-58.394781
155,5207002,AXION ALSINA (709),JUJUY 164-196,BALVANERA,Capital Federal,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.61194092,-58.40534159
158,5207006,AXION ANCHORENA (086),AV. RIVADAVIA 3199,BALVANERA,Capital Federal,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.610362,-58.41147
71,6949119,PAPELERIA CENTRO I,AV. RIVADAVIA 2053,BALVANERA,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.60937196,-58.3955931
234,9902007,CORREO CONGRESO,AV. CALLAO 131,BALVANERA,Capital Federal,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.60769702,-58.39183543
243,9902016,CORREO ONCE,GRAL. PERON 2821,BALVANERA,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.6076831,-58.40631392
1488,10249460,LA CUNA DE LA TIMBA,LA RIOJA 202,BALVANERA,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 20:30hs ,Sáb. 09:00hs a 20:30hs ,,-34.612603,-58.408443
1770,11149046,ESTUDIO CRESPO,AV. RIVADAVIA 2358,BALVANERA,Capital Federal,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.60970586,-58.39972114
1555,90001053,C.S. ONCE MT,AV. RIVADAVIA 2562,BALVANERA,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-34.60986555,-58.40250122
2032,8749037,NEW MULTISERVICIOS ONCE,PUEYRREDON 110 LOC 12 Y 13,BALVANERA,Capital Federal,1,1,1,0,Lun. a Vie. 08:00hs a 19:00hs ,,,-34.60877304,-58.40581865
2195,10249632,AGENCIA LT URUGUAY III,URUGUAY 381,BALVANERA,Capital Federal,1,1,1,0,Lun. a Vie. 07:00hs a 19:00hs ,,,-34.60431724,-58.386115
2548,5319268,CARREFOUR EXPRESS (0598),SARMIENTO 1810,BALVANERA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.605662,-58.392305
2582,5319182,CARREFOUR EXPRESS (0487),LA RIOJA 2040,BALVANERA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.635186,-58.405807
2584,5319102,CARREFOUR EXPRESS (0402),AV. CORRIENTES 1974,BALVANERA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.604509,-58.394901
2675,5319200,CARREFOUR EXPRESS (0529),VIAMONTE 2296,BALVANERA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.601129,-58.399745
2683,5319287,CARREFOUR EXPRESS (0621),AVELLANEDA 1034,BALVANERA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.61719,-58.445273
2500,5319248,CARREFOUR EXPRESS (0577),AV. CORDOBA 2038,BALVANERA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.59973,-58.396322
2501,5319249,CARREFOUR EXPRESS (0578),AV. CALLAO 678,BALVANERA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.601081,-58.392745
2506,5319254,CARREFOUR EXPRESS (0584),URQUIZA 648,BALVANERA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.618106,-58.409362
2810,5319059,CARREFOUR EXPRESS (0345),PUEYRREDON 672,BALVANERA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.602181,-58.40493
2813,5319062,CARREFOUR EXPRESS (0348),RIVADAVIA 3421,BALVANERA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.610712,-58.4148
2820,5319069,CARREFOUR EXPRESS (0355),PUEYRREDON 1054,BALVANERA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.597889,-58.403556
2828,8249051,GALERIA ECUADOR,ECUADOR 463,BALVANERA,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,Dom. 09:00hs a 21:00hs ,-34.604669,-58.407943
2970,5319325,CARREFOUR EXPRESS (662),AV. BELGRANO 3043,BALVANERA,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.615144,-58.408961
2988,5319342,CARREFOUR EXPRESS (734),URQUIZA 1013,BALVANERA,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.622569,-58.40912
2686,5319289,CARREFOUR EXPRESS (0623),AV. RIVADAVIA 2520,BALVANERA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.609914,-58.402072
2690,5319209,CARREFOUR EXPRESS (0538),H. YRIGOYEN 3254,BALVANERA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.612281,-58.41254
