IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
229,9902002,CORREO BARRACAS,AV. SUAREZ 1750,BARRACAS,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.63917916,-58.37513953
901,9902739,CORREO TESORERIA CENTRAL,BRANDSEN 2070,BARRACAS,Capital Federal,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.63842,-58.379914
957,9049014,MERCERIA MARINA,WENCESLAO VILLAFANE 1560,BARRACAS,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 13:00hs ,Sáb. 10:00hs a 13:00hs ,,-34.63502965,-58.37369351
1551,7049878,AGENCIA ATALAYA II,AV. MONTES DE OCA 1399,BARRACAS,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,Sáb. 09:00hs a 14:00hs ,,-34.643683,-58.373632
2811,5319060,CARREFOUR EXPRESS (0346),SUAREZ 1599,BARRACAS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.638434,-58.373365
2854,12249093,LOCUTORIO TRIX,MONTES DE OCA 998,BARRACAS,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.639635,-58.374395
2787,5319039,CARREFOUR EXPRESS (0323),MONTES DE OCA 304,BARRACAS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.632184,-58.376155
3643,10249838,AGENCIA PEKE,AV. SUAREZ 1405,BARRACAS,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.638251,-58.371473
6707,,NSA AR BARRACAS OLIMPO,AV. IRIARTE  3396,BARRACAS,Capital Federal,1,0,0,0,Lun. a Vie. 0900 A 1830,Sáb. 0900 A 1830,Dom. 0900 A 1430,-34.651444,-58.395469
6716,,NSA AR ENCOMIENDAS MADERO,AV. VELEZ SARFIELD  1095,BARRACAS,Capital Federal,1,0,0,0,Lun. a Vie. 0930 A 1300 1500 A 1900,Sáb. 0900 A 1300,,-34.646788,-58.389363
5111,12449323,TOTAL PAYMENT OPEN  CORRIENTES,AV.CORRIENTES,BARRACAS,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.603183,-58.374814
6069,8903008,P24 BARRACAS,VIEYTES 1272,BARRACAS,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.647336,-58.377556
5644,6949572,LIBRERIA NUM3ROS II,MONTES DE OCA MANUEL 1179,BARRACAS,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 19:00hs ,,-34.641699,-58.374498
