IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
92,8902001,TELECENTRO BELGRANO CHICO,ECHEVERRIA 1340,BELGRANO,Capital Federal,0,0,1,0,Lun. a Vie. 09:00hs a 14:00hs y 16:00hs a 21:00hs,Sáb. 09:00hs a 16:00hs ,,-34.55644651,-58.44491767
110,90001012,C.S. BELGRANO,LA PAMPA 2451,BELGRANO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-34.56496267,-58.45477498
168,5207018,AXION CABILDO (951),AV. CABILDO 695,BELGRANO,Capital Federal,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.57015771,-58.44397386
66,6549034,CENTRO INTEGRAL DE OPTICA Y AUDIOLOGIA,JURAMENTO 1620,BELGRANO,Capital Federal,0,0,1,0,Lun. a Vie. 10:00hs a 16:00hs ,Sáb. 11:00hs a 13:00hs ,,-34.55742451,-58.44885443
69,6949084,LIBRERIA J.L.Z.,MONTANESES 2782,BELGRANO,Capital Federal,1,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 14:00hs a 19:00hs,Sáb. 08:00hs a 12:00hs ,,-34.55107627,-58.45415088
1404,11649187,LO DE PATO,LUIS MARIA CAMPOS 290,BELGRANO,Capital Federal,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 09:00hs a 14:00hs ,,-34.57364775,-58.43239375
1226,90017005,C.S. SHOPPING SOLAR DE LA ABADIA,ARCE 940,BELGRANO,Capital Federal,1,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 10:00hs a 21:00hs ,Dom. 10:00hs a 21:00hs ,-34.56717729,-58.43721576
1243,7049530,MAXIKIOSCO CANDY,AMENABAR 1537,BELGRANO,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,,,-34.56784888,-58.45363804
2053,90001115,C.S. CARREFOUR BELGRANO,AV. MONROE 1655,BELGRANO,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,Dom. 10:00hs a 14:00hs ,36.618338,-64.291268
1839,8749021,MONEY OLD SERVICIOS,CIUDAD DE LA PAZ 2467,BELGRANO,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 17:00hs ,Sáb. 10:00hs a 13:00hs ,,-34.55893051,-58.46043629
2314,11549005,ELECTROTOTAL,ARCOS 2433,BELGRANO,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 13:00hs y 14:00hs a 18:00hs,,,-34.557097,-58.456493
2563,5319087,CARREFOUR EXPRESS (0374),AV. ROMULO NAON 2401,BELGRANO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.5625,-58.458333
2605,5319125,CARREFOUR EXPRESS (0426),MONTANESES 2067,BELGRANO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.557709,-58.448617
