IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
112,90001020,C.S. BOEDO,AV. BOEDO 832,BOEDO,Capital Federal,1,1,1,0,Lun. a Vie. 08:30hs a 18:30hs ,,,-34.622863,-58.4159445
1716,11649250,CENTER SERVICE,AV. SAN JUAN 3427,BOEDO,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.62509847,-58.41375212
1950,10249599,LA FE MUEVE MONTANAS,QUITO 3602,BOEDO,Capital Federal,0,1,1,0,Lun. a Vie. 12:00hs a 19:30hs ,,,-34.616348,-58.41685
2192,90001167,C.S. CARREFOUR SAN LORENZO,AV. LA PLATA 1768,BOEDO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,Dom. 09:00hs a 15:00hs ,-34.6353861,-58.4246681
2596,5319113,CARREFOUR EXPRESS (0414),AV. SAN JUAN 3900,BOEDO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.626081,-58.420236
2597,5319114,CARREFOUR EXPRESS (0415),AV. SAN JUAN 4351,BOEDO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.626906,-58.426182
3291,10049020,ELECTRONICA BOEDO,PAVON 2802,BOEDO,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.627781,-58.403799
3391,11949280,MAXIKIOSCO EL CICLON,AV. BOEDO 979,BOEDO,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,,,-34.624843,-58.416182
3614,12049943,DRUGSTORE BOEDO,AV. BOEDO 799,BOEDO,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 20:00hs ,Sáb. 10:00hs a 20:00hs ,,-34.62243,-58.416393
4146,11949457,MAXIKIOSCO LA ESQUINA DE SAN LORENZO,INCLAN 4301,BOEDO,Capital Federal,1,1,1,0,Lun. a Vie. 07:30hs a 19:30hs ,,,-34.633492,-58.424102
4796,8749209,CENTRO SERVICIOS LOS HERMANOS,COLOMBRES 956,BOEDO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.62509,-58.417568
5088,7506004,PUERTO VIRTUAL BODY SUN,AV SAN JUAN 3343/7,BOEDO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 08:30hs a 14:30hs ,,-34.62491,-58.412724
5403,11849261,FARMACIA OGGI II,AV. JUAN DE GARAY 3101,BOEDO,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 13:00hs y 16:00hs a 19:00hs,,,-34.629449,-58.408547
