IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
114,90001028,C.S. PRIMERA JUNTA,AV. RIVADAVIA 5481,CABALLITO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-34.62064386,-58.44248155
245,9902018,CORREO PARQUE CENTENARIO,AV. ANGEL GALLARDO 756,CABALLITO,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.60587766,-58.44088262
305,9902082,CORREO FLORES,JOSE ARTIGAS 40,CABALLITO,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.62870458,-58.46424997
1022,8949201,TELECENTRO CABALLITO NORTE,AV. SAN MARTIN 1294,CABALLITO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 10:00hs a 13:00hs ,,-34.6068465,-58.448741
2019,90001082,C.S. CARREFOUR CABALLITO,AV. DONATO ALVAREZ 1351,CABALLITO,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,Dom. 10:00hs a 14:00hs ,-34.61090384,-58.46070861
2378,12049414,LOCUTORIO RIO,RIO DE JANEIRO 922,CABALLITO,Capital Federal,0,1,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.604742,-58.431708
2543,5319083,CARREFOUR EXPRESS (0370),JUAN B. ALBERDI 371,CABALLITO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.622849,-58.433062
2568,5319092,CARREFOUR EXPRESS (0380),OTAMENDI 454,CABALLITO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.61157,-58.433431
2579,5319100,CARREFOUR EXPRESS (0400),CENTENERA 177,CABALLITO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.621767,-58.440987
2602,5319119,CARREFOUR EXPRESS (0420),AV. GAONA 1384,CABALLITO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.608761,-58.448706
2662,5319281,CARREFOUR EXPRESS (0615),AV. RIVADAVIA 4702,CABALLITO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 11:00hs a 20:00hs ,,-34.616246,-58.431826
2663,5319282,CARREFOUR EXPRESS (0616),RIO DE JANEIRO 71,CABALLITO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 11:00hs a 20:00hs ,,-34.614433,-58.430049
2667,5319285,CARREFOUR EXPRESS (0619),RAMOS MEJIA 1019,CABALLITO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.604033,-58.433346
2672,5319197,CARREFOUR EXPRESS (0526),HONORIO PUEYRREDON 925,CABALLITO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.609732,-58.443849
2676,5319201,CARREFOUR EXPRESS (0530),RIVADAVIA 6074,CABALLITO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.624611,-58.451361
2679,5319204,CARREFOUR EXPRESS (0533),ROSARIO 85,CABALLITO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.618448,-58.429754
2512,5319257,CARREFOUR EXPRESS (0587),ROJAS 16-18,CABALLITO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.620347,-58.44157
2825,5319076,CARREFOUR EXPRESS (0362),DIRECTORIO 1063,CABALLITO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.629253,-58.442459
2961,10249721,AGENCIA EL TREBOL,EL MAESTRO 98,CABALLITO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 14:30hs y 15:30hs a 20:00hs,,,-34.617378,-58.430864
