IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
49,5449046,J.J.LIMOLI PARANA,PARANA 483,CENTRO,Capital Federal,0,0,1,0,Lun. a Vie. 10:00hs a 12:00hs y 13:00hs a 17:30hs,,,-34.60312749,-58.38766155
376,9902161,CORREO AV. DE MAYO,AV. DE MAYO 770,CENTRO,Capital Federal,1,0,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.608866,-58.37738325
2567,5319091,CARREFOUR EXPRESS (0379),MAIPU 26,CENTRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.607856,-58.376429
2693,5319212,CARREFOUR EXPRESS (0541),MAIPU 918,CENTRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.597363,-58.376928
2771,5319024,CARREFOUR EXPRESS (0308),MAIPU 171,CENTRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.606173,-58.37652
2795,5319045,CARREFOUR EXPRESS (0329),LAVALLE 1749,CENTRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.603109,-58.391765
3805,6449318,ASOCIACION MUTUAL HOGAR LATINO,TUCUMAN 536 PB,CENTRO,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 16:00hs ,,,-34.601015,-58.3747
4056,8749160,TOTAL PAYMENT TUCUMAN,TUCUMAN 631,CENTRO,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.601028,-58.375649
4058,8749161,TOTAL PAYMENT FLORIDA,FLORIDA 946,CENTRO,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.597008,-58.375404
4059,8749162,TOTAL PAYMENT SAN MARTIN,SAN MARTIN 318,CENTRO,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.604307,-58.373904
4506,12449201,TOTAL PAYMENT OPEN TUCUMAN,TUCUMAN 901,CENTRO,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.601269,-58.379615
5108,12449320,TOTAL PAYMENT OPEN LAVALLE,LAVALLE 902,CENTRO,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.602527,-58.37961
5856,5319408,CARREFOUR EXPRESS (750),CERRITO 1160,CENTRO,Capital Federal,0,0,1,0,Lun. a Vie. 07:00hs a 22:30hs ,Sáb. 07:00hs a 22:30hs ,Dom. 08:00hs a 22:00hs ,-34.594811,-58.382753
4894,12449290,MAXIKIOSCO BUENA ONDA,LAVALLE 1752,CENTRO,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 18:30hs ,Sáb. 09:00hs a 13:00hs ,,-34.60318,-58.39158
